Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,23,11,12,47.8%,27-27,50.0%,287-276,51.0%,6-9,40.0%,23,88.0%,13.6%,14.8%,4.1%,56.9%,81.5%,49.7%,67.8%,32.1%,50.3%,1.00
Clay,4,0,4,0.0%,0-9,0.0%,26-55,32.1%,0-0,-,2,55.0%,0.0%,5.4%,5.4%,45.0%,62.1%,45.1%,52.7%,29.4%,40.8%,0.62
Grass,4,3,1,75.0%,10-5,66.7%,79-67,54.1%,1-1,50.0%,4,88.9%,19.4%,14.3%,1.8%,61.2%,75.3%,54.8%,67.3%,35.2%,51.4%,1.08
Grand Slams,9,5,4,55.6%,17-14,54.8%,150-140,51.7%,2-1,66.7%,9,83.2%,19.4%,13.1%,3.1%,57.3%,76.1%,52.0%,65.8%,36.0%,51.0%,1.05
Masters,7,3,4,42.9%,7-9,43.8%,78-88,47.0%,2-2,50.0%,7,86.4%,7.4%,15.9%,2.1%,57.5%,80.4%,49.8%,67.4%,29.6%,48.5%,0.91
Other Tours,13,6,7,46.2%,13-14,48.1%,149-145,50.7%,3-7,30.0%,13,89.6%,12.1%,14.1%,5.1%,56.7%,81.9%,49.0%,67.6%,30.9%,49.8%,0.95
Best of 5,9,5,4,55.6%,17-14,54.8%,150-140,51.7%,2-1,66.7%,9,83.2%,19.4%,13.1%,3.1%,57.3%,76.1%,52.0%,65.8%,36.0%,51.0%,1.05
Best of 3,22,9,13,40.9%,20-27,42.6%,242-258,48.4%,5-9,35.7%,20,88.4%,10.4%,14.8%,4.1%,57.0%,81.3%,49.3%,67.5%,30.4%,49.3%,0.94
Semi-finals,1,0,1,0.0%,0-2,0.0%,12-14,46.2%,0-2,0.0%,1,100.0%,0.0%,16.5%,8.2%,55.7%,81.5%,48.8%,67.0%,21.3%,47.1%,0.65
Quarter-finals,1,1,0,100.0%,2-0,100.0%,12-5,70.6%,0-0,-,1,100.0%,37.5%,31.4%,0.0%,64.7%,84.8%,50.0%,72.5%,46.4%,58.9%,1.69
vs Righties,26,10,16,38.5%,27-38,41.5%,320-343,48.3%,6-10,37.5%,25,86.0%,11.5%,14.5%,3.5%,57.4%,78.7%,50.4%,66.6%,31.1%,49.1%,0.93
vs Lefties,5,4,1,80.0%,10-3,76.9%,72-55,56.7%,1-0,100.0%,4,88.7%,29.4%,11.7%,5.1%,55.1%,83.6%,49.7%,68.4%,42.0%,55.6%,1.33
vs Top 10,5,1,4,20.0%,4-9,30.8%,58-73,44.3%,0-3,0.0%,5,84.4%,6.3%,12.7%,4.9%,55.5%,75.8%,50.3%,64.5%,27.6%,47.0%,0.78
