Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,18,10,8,55.6%,4,2,2,50.0%,2005,2012,QF,16,1.00,4.4%,6.8%,62.9%,62.8%,44.9%,56.2%,44.0%,56.9%,48.0%
Roland Garros,6,Clay,14,8,6,57.1%,3,0,3,0.0%,2005,2010,QF,13,1.00,3.1%,5.1%,61.7%,61.4%,44.1%,54.8%,45.4%,48.1%,41.5%
Wimbledon,7,Grass,15,8,7,53.3%,4,1,3,25.0%,2005,2011,R16,15,0.98,4.7%,5.9%,60.1%,66.7%,46.2%,58.5%,40.7%,58.7%,39.1%
US Open,7,Hard,23,16,7,69.6%,4,3,1,75.0%,2004,2010,SF,16,1.04,3.3%,6.1%,58.5%,63.1%,45.3%,55.7%,46.2%,50.8%,44.0%
Fed Cup,4,,9,7,2,77.8%,3,3,0,100.0%,2006,2009,,1,0.48,0.0%,5.8%,67.3%,48.6%,35.3%,44.2%,26.8%,37.5%,0
Moscow,8,Hard,17,10,7,58.8%,3,1,2,33.3%,2003,2010,W,9,1.14,3.6%,6.5%,57.9%,65.7%,49.0%,58.7%,46.9%,55.6%,48.3%
Indian Wells,6,Hard,15,9,6,60.0%,3,1,2,33.3%,2005,2011,R16,11,1.04,1.8%,10.2%,57.4%,60.6%,41.1%,52.3%,49.9%,50.5%,53.1%
Rome,6,Clay,15,9,6,60.0%,3,3,0,100.0%,2005,2012,SF,13,1.06,3.3%,5.7%,61.7%,62.3%,43.1%,55.0%,47.6%,48.3%,50.7%
Miami,6,Hard,15,9,6,60.0%,0,0,0,-,2005,2010,SF,14,1.10,3.9%,6.2%,58.8%,63.9%,42.9%,55.3%,49.2%,49.0%,51.9%
Hobart,5,Hard,13,9,4,69.2%,5,2,3,40.0%,2007,2012,W,11,1.13,2.3%,7.6%,60.2%,60.3%,44.9%,54.2%,51.9%,52.7%,53.4%
Warsaw,4,Clay,14,10,4,71.4%,5,2,3,40.0%,2005,2010,SF,6,1.12,1.5%,6.9%,62.1%,61.1%,43.5%,54.4%,51.1%,58.2%,54.2%
