Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,212,125,87,59.0%,272-199,57.7%,2304-2063,52.8%,16-26,38.1%,157,-,-,3.7%,7.3%,58.9%,63.3%,44.2%,55.5%,46.3%,50.9%,1.04
Clay,63,32,31,50.8%,79-73,52.0%,711-700,50.4%,10-7,58.8%,47,-,-,2.8%,5.6%,60.8%,60.2%,42.8%,53.4%,45.9%,49.6%,0.99
Grass,37,22,15,59.5%,51-40,56.0%,450-428,51.3%,5-8,38.5%,34,-,-,4.6%,5.3%,62.1%,67.9%,46.4%,59.7%,41.5%,50.6%,1.03
Carpet,14,10,4,71.4%,22-13,62.9%,176-137,56.2%,1-1,50.0%,13,-,-,4.8%,4.4%,59.2%,67.8%,48.3%,59.8%,46.6%,53.0%,1.16
Grand Slams,67,39,28,58.2%,88-69,56.1%,749-702,51.6%,5-9,35.7%,60,-,-,3.9%,6.0%,60.8%,63.5%,45.2%,56.3%,44.1%,50.1%,1.01
Premiers,165,90,75,54.5%,209-173,54.7%,1859-1715,52.0%,14-23,37.8%,120,-,-,3.8%,6.5%,58.2%,63.6%,44.1%,55.5%,45.7%,50.6%,1.03
Internationals,69,45,24,65.2%,96-60,61.5%,783-667,54.0%,8-9,47.1%,54,-,-,3.6%,6.5%,61.7%,64.8%,46.6%,57.8%,46.5%,52.1%,1.10
Finals,9,8,1,88.9%,17-4,81.0%,114-75,60.3%,2-0,100.0%,8,-,-,2.8%,8.0%,57.4%,67.1%,48.0%,58.9%,48.6%,53.6%,1.18
Semi-finals,19,9,10,47.4%,21-25,45.7%,191-205,48.2%,0-1,0.0%,15,-,-,3.9%,6.8%,59.1%,61.6%,43.8%,54.3%,46.2%,50.3%,1.01
Quarter-finals,34,17,17,50.0%,37-41,47.4%,374-369,50.3%,3-7,30.0%,28,-,-,3.9%,7.2%,57.8%,63.7%,46.9%,56.6%,43.7%,50.1%,1.01
vs Righties,293,169,124,57.7%,379-292,56.5%,3257-2971,52.3%,29-39,42.6%,228,-,-,3.7%,6.6%,59.7%,63.7%,44.4%,55.9%,45.6%,50.7%,1.03
vs Lefties,33,20,13,60.6%,45-33,57.7%,384-357,51.8%,3-3,50.0%,23,-,-,3.4%,5.9%,60.4%,62.5%,45.5%,55.8%,44.8%,50.3%,1.01
vs Top 10,44,14,30,31.8%,36-62,36.7%,393-493,44.4%,3-8,27.3%,38,-,-,3.8%,5.1%,59.3%,62.0%,43.0%,54.3%,41.5%,47.8%,0.91
