Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,1,2,33.3%,3-3,50.0%,34-29,54.0%,1-1,50.0%,2,80.0%,29.0%,9.7%,6.8%,62.6%,74.4%,44.2%,63.1%,41.5%,51.6%,1.13,R16 (Adelaide)
2025,29,18,11,62.1%,40-23,63.5%,327-267,55.1%,6-2,75.0%,28,69.3%,40.5%,6.2%,8.0%,58.1%,67.8%,44.1%,57.9%,45.7%,51.7%,1.08,W (Berlin)
2024,28,16,12,57.1%,35-27,56.5%,289-256,53.0%,1-3,25.0%,27,64.5%,41.5%,4.4%,7.1%,62.4%,62.5%,44.0%,55.5%,46.4%,51.0%,1.04,SF (Stuttgart)
2023,57,39,18,68.4%,82-43,65.6%,654-493,57.0%,4-7,36.4%,55,70.7%,43.4%,4.1%,6.5%,64.0%,65.7%,48.7%,59.6%,47.2%,53.1%,1.17,W (Wimbledon)
2022,17,11,6,64.7%,25-13,65.8%,202-158,56.1%,2-2,50.0%,15,74.4%,39.2%,4.3%,7.3%,55.2%,70.6%,47.2%,60.1%,45.0%,52.3%,1.13,SF (Dubai)
2021,54,34,20,63.0%,73-46,61.3%,598-495,54.7%,3-6,33.3%,47,69.9%,38.6%,3.5%,7.3%,60.0%,65.5%,47.8%,58.4%,44.5%,51.5%,1.07,F (Tokyo Olympics)
2020,18,8,10,44.4%,22-22,50.0%,196-186,51.3%,2-0,100.0%,18,63.3%,39.1%,2.2%,7.0%,57.0%,61.2%,47.2%,55.2%,46.0%,50.5%,1.03,SF (Rome)
2019,38,29,9,76.3%,63-25,71.6%,466-349,57.2%,7-0,100.0%,38,68.1%,46.3%,2.2%,5.7%,61.5%,64.4%,47.6%,58.0%,47.9%,52.8%,1.14,F (3x)
2018,30,14,16,46.7%,37-33,52.9%,345-334,50.8%,6-4,60.0%,30,67.5%,33.9%,2.3%,8.8%,57.6%,64.7%,46.3%,56.9%,43.9%,50.3%,1.02,SF (Gstaad)
2017,16,9,7,56.3%,21-15,58.3%,200-165,54.8%,4-6,40.0%,16,70.8%,43.1%,3.7%,6.9%,56.0%,67.2%,45.8%,57.8%,45.8%,51.6%,1.08,W (Biel)
2016,2,1,1,50.0%,2-2,50.0%,19-17,52.8%,0-0,-,2,82.4%,26.3%,8.5%,9.4%,56.4%,69.7%,51.0%,61.5%,39.2%,50.0%,1.02,R16 (Prague)
Career,292,180,112,61.6%,403-252,61.5%,3330-2749,54.8%,36-31,53.7%,278,69.0%,40.6%,3.7%,7.1%,60.0%,65.5%,46.8%,58.0%,45.9%,51.8%,1.09,
