Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,16,9,7,56.3%,1,1,0,100.0%,2018,2024,R16,16,1.00,3.9%,7.6%,60.4%,61.4%,46.0%,55.3%,44.5%,48.5%,50.0%
Roland Garros,8,Clay,28,20,8,71.4%,3,2,1,66.7%,2017,2025,F,25,1.14,1.7%,6.5%,63.5%,63.8%,49.3%,58.5%,47.3%,60.2%,50.2%
Wimbledon,7,Grass,15,9,6,60.0%,2,2,0,100.0%,2017,2025,W,15,1.02,4.3%,6.5%,61.0%,64.6%,44.6%,56.8%,44.2%,51.7%,44.1%
US Open,6,Hard,19,13,6,68.4%,8,6,2,75.0%,2025,2025,QF,18,1.14,4.9%,8.1%,63.0%,66.0%,46.5%,58.8%,47.2%,53.8%,45.7%
Olympics,1,,6,5,1,83.3%,0,0,0,-,2021,2021,F,0,,,,,,,,,,
Fed Cup,2,,4,3,1,75.0%,0,0,0,-,2017,2019,,4,1.16,0.9%,8.8%,57.7%,69.4%,41.8%,57.7%,49.2%,50.0%,63.3%
Adelaide,3,Hard,7,4,3,57.1%,1,0,1,0.0%,2026,2026,QF,6,1.23,10.8%,6.9%,59.2%,67.1%,44.7%,57.9%,51.6%,67.4%,46.3%
Cincinnati,5,Hard,9,4,5,44.4%,2,1,1,50.0%,2018,2025,QF,9,1.06,5.8%,7.1%,59.2%,70.7%,42.9%,59.4%,42.9%,50.0%,39.5%
Montreal,2,Hard,5,3,2,60.0%,0,0,0,-,2023,2025,R16,5,1.08,4.4%,8.9%,57.1%,65.6%,45.9%,57.1%,46.2%,51.4%,40.7%
Berlin,4,Grass,11,8,3,72.7%,6,3,3,50.0%,2021,2025,W,11,1.12,4.9%,7.0%,60.3%,72.8%,48.2%,63.0%,41.3%,66.1%,42.4%
Dubai,7,Hard,18,11,7,61.1%,2,1,1,50.0%,2022,2025,SF,17,1.07,4.0%,8.5%,54.3%,66.8%,44.8%,56.8%,46.4%,60.4%,45.3%
Doha,4,Hard,8,4,4,50.0%,0,0,0,-,2018,2025,R16,8,1.12,4.8%,6.9%,54.7%,64.5%,47.0%,56.6%,48.5%,45.5%,52.9%
