Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),265,205,357,1418,299,1417,330,1361,,,,,,
2025,251,217,394,1366,335,1375,347,1341,,,,,,
2024,406,114,,,,,,,,,,,,
2023,275,214,374,1330,310,1373,348,1304,,,,,,
2022,260,204,373,1339,,,347,1320,,,,,,
2021,424,94,,,,,,,,,,,,
2020,429,88,,,,,,,,,555,70,,
2019,437,73,,,,,,,,,596,59,,
2018,529,8,,,,,,,,,,,,
2017,1329,3,,,,,,,,,,,,
