Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Clay,5,2,3,40.0%,6-7,46.2%,55-63,46.6%,0-0,-,5,59.3%,33.9%,2.7%,2.9%,61.8%,58.7%,43.9%,53.0%,42.0%,47.8%,0.89
Quarter-finals,1,0,1,0.0%,1-2,33.3%,12-16,42.9%,0-0,-,1,71.4%,14.3%,2.6%,5.2%,64.9%,70.0%,51.9%,63.6%,34.5%,48.2%,0.95
vs Righties,3,0,3,0.0%,2-6,25.0%,26-43,37.7%,0-0,-,3,50.0%,25.7%,1.8%,4.0%,62.7%,57.4%,39.3%,50.7%,39.1%,44.9%,0.79
vs Lefties,1,1,0,100.0%,2-0,100.0%,12-6,66.7%,0-0,-,1,77.8%,55.6%,4.9%,4.9%,49.2%,70.0%,45.2%,57.4%,51.0%,54.5%,1.20
