Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Osaka QF,L vs Lamens,24,39,0.6,13.9%,22.5%,22,38,0.6,13.8%,23.8%,5.6%,8.1%,0.8,16.2%,19.7%
2024 US Open R128,L vs Rus,18,38,0.5,11.0%,23.3%,17,34,0.5,11.3%,22.5%,7.3%,2.6%,0.9,18.4%,21.5%
2024 Wimbledon R128,L vs Bucsa,22,48,0.5,8.6%,18.8%,18,44,0.4,7.6%,18.6%,4.2%,3.0%,0.7,12.5%,18.4%
2024 Rome R128,W vs Fernandez,10,8,1.3,8.3%,6.6%,9,5,1.8,8.0%,4.5%,3.6%,4.5%,0.9,20.7%,22.3%
2024 Cluj-Napoca F,L vs Pliskova,17,23,0.7,15.0%,20.4%,11,23,0.5,11.1%,23.2%,6.1%,4.0%,1.9,20.4%,10.6%
2023 US Open R128,L vs Kenin,23,29,0.8,15.3%,19.3%,18,24,0.8,13.1%,17.5%,8.8%,4.4%,0.8,14.7%,18.0%
2023 Wimbledon R32,L vs Tsurenko,27,64,0.4,10.8%,25.5%,26,60,0.4,10.9%,25.1%,4.6%,5.9%,0.5,11.2%,23.9%
2023 Wimbledon R64,W vs Parks,11,12,0.9,8.3%,9.1%,8,11,0.7,7.6%,10.5%,3.8%,3.8%,0.8,19.7%,25.0%
2023 Wimbledon R128,W vs Samsonova,19,20,1.0,10.8%,11.4%,13,18,0.7,8.1%,11.3%,3.8%,4.4%,0.8,19.9%,26.1%
2023 Roland Garros R128,L vs Osorio,23,28,0.8,13.1%,16.0%,20,26,0.8,12.1%,15.8%,7.3%,4.8%,0.9,19.4%,22.9%
2022 Limoges 125 R16,W vs Scott,23,26,0.9,17.4%,19.7%,18,26,0.7,14.8%,21.3%,7.4%,7.4%,0.4,7.6%,18.2%
2022 Portoroz SF,L vs Rybakina,12,12,1.0,9.8%,9.8%,11,11,1.0,9.6%,9.6%,7.9%,1.8%,1.4,22.1%,15.6%
2022 Warsaw F,L vs Garcia,13,19,0.7,12.4%,18.1%,11,17,0.6,11.5%,17.7%,4.2%,6.3%,1.7,19.0%,11.4%
2022 Wimbledon R64,L vs Kvitova,18,7,2.6,11.5%,4.5%,14,5,2.8,10.3%,3.7%,5.1%,3.7%,1.7,25.6%,15.4%
2022 Wimbledon R128,W vs Yastremska,6,9,0.7,5.9%,8.9%,6,9,0.7,6.5%,9.8%,3.3%,2.2%,0.4,11.9%,33.7%
2021 Cluj-Napoca 2 R16,L vs Raducanu,11,28,0.4,9.1%,23.1%,9,24,0.4,8.0%,21.4%,1.8%,6.3%,0.5,10.7%,22.3%
2021 US Open R128,L vs Masarova,42,32,1.3,14.0%,10.7%,40,27,1.5,14.7%,9.9%,8.5%,5.5%,1.9,17.4%,9.4%
2021 Wimbledon R128,L vs Pavlyuchenkova,12,16,0.8,13.5%,18.0%,12,14,0.9,15.0%,17.5%,8.8%,6.3%,1.9,16.9%,9.0%
2021 Roland Garros R32,L vs Badosa,34,44,0.8,14.3%,18.6%,34,44,0.8,15.2%,19.6%,,,0.7,15.2%,22.8%
2021 Roland Garros R128,W vs Cocciaretto,18,16,1.1,17.3%,15.4%,18,16,1.1,17.8%,15.8%,,,0.9,16.3%,19.2%
Career (40 matches),,711,971,0.7,12.2%,16.7%,617,887,0.7,11.6%,16.7%,4.9%,4.5%,0.8,16.6%,19.8%
