Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,N Sriram Balaji [IND],5,3,62.5%,2,2,0,100.0%,2013,2017,1,0.75,6.4%,2.1%,51.1%,62.5%,47.8%,55.3%,33.3%,50.0%,16.7%
5,James Duckworth [AUS],2,3,40.0%,4,2,2,50.0%,2019,2023,5,0.84,7.7%,3.7%,61.8%,68.3%,50.6%,61.5%,32.2%,60.6%,33.3%
5,Go Soeda [JPN],3,2,60.0%,3,1,2,33.3%,2016,2022,5,1.13,9.9%,3.0%,66.3%,70.6%,56.2%,65.8%,38.5%,75.8%,42.4%
5,Brayden Schnur [CAN],4,1,80.0%,1,1,0,100.0%,2018,2021,5,1.17,6.8%,6.0%,56.8%,72.5%,53.9%,64.5%,41.7%,67.7%,34.7%
5,Soon Woo Kwon [KOR],3,2,60.0%,3,2,1,66.7%,2016,2020,5,0.98,8.9%,3.4%,64.2%,68.3%,50.3%,61.9%,37.3%,70.7%,34.1%
5,Mohit Mayur Jayaprakash [IND],5,0,100.0%,0,0,0,-,2015,2017,1,1.13,4.8%,1.6%,63.5%,72.5%,47.8%,63.5%,41.2%,83.3%,66.7%
4,Yanki Erel [TUR],2,2,50.0%,1,1,0,100.0%,2021,2022,2,0.69,8.6%,6.7%,56.2%,69.5%,37.0%,55.2%,30.9%,41.7%,25.0%
4,Saketh Myneni [IND],3,1,75.0%,2,0,2,0.0%,2016,2019,4,1.34,6.6%,3.3%,63.1%,75.7%,63.4%,71.2%,38.7%,77.8%,58.3%
4,Mohamed Safwat [EGY],4,0,100.0%,1,1,0,100.0%,2018,2018,4,1.19,4.7%,4.3%,55.6%,72.9%,52.4%,63.8%,43.2%,23.1%,56.3%
4,Evan King [USA],3,1,75.0%,0,0,0,-,2017,2018,4,1.40,9.2%,1.5%,64.6%,82.7%,57.5%,73.8%,36.8%,57.1%,40.0%
4,N Vijay Sundar Prashanth [IND],3,1,75.0%,0,0,0,-,2015,2017,1,1.36,9.5%,3.2%,71.4%,66.7%,66.7%,66.7%,45.5%,75.0%,44.4%
4,Jui Chen Hung [TPE],3,1,75.0%,1,1,0,100.0%,2013,2017,0,,,,,,,,,,
3,Jay Clarke [GBR],1,2,33.3%,1,0,1,0.0%,2019,2023,3,1.07,12.4%,3.5%,60.4%,73.8%,51.2%,64.9%,37.5%,53.3%,33.3%
3,Maximilian Marterer [GER],0,3,0.0%,3,0,3,0.0%,2017,2023,3,0.73,6.4%,1.6%,62.5%,68.2%,56.4%,63.7%,26.4%,61.9%,66.7%
3,Sebastian Fanselow [GER],3,0,100.0%,0,0,0,-,2018,2022,3,1.09,8.4%,3.5%,60.0%,71.9%,50.9%,63.5%,39.6%,60.0%,39.4%
