Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2020 Orlando CH F,L vs Nakashima,19,25,0.8,15.3%,20.2%,15,25,0.6,13.0%,21.7%,11.3%,1.7%,1.0,9.7%,9.7%
2020 Ismaning CH SF,L vs Van De Zandschulp,19,27,0.7,14.2%,20.1%,14,23,0.6,12.0%,19.7%,9.4%,0.9%,1.6,18.7%,11.9%
2020 Australian Open R128,L vs Ito,15,47,0.3,7.7%,24.0%,15,47,0.3,8.7%,27.2%,,,0.7,11.7%,16.8%
2019 US Open R128,L vs Medvedev,20,36,0.6,14.7%,26.5%,16,28,0.6,14.8%,25.9%,11.1%,2.8%,1.0,14.7%,14.7%
2019 Wimbledon R128,L vs Raonic,13,26,0.5,7.3%,14.6%,8,24,0.3,5.2%,15.7%,5.2%,0.0%,1.2,21.3%,18.0%
2019 Roland Garros R128,L vs Dellien,13,33,0.4,10.2%,25.8%,13,33,0.4,10.8%,27.5%,,,1.1,12.5%,11.7%
2019 Indian Wells Masters R32,L vs Karlovic,23,17,1.4,18.7%,13.8%,19,15,1.3,19.2%,15.2%,17.2%,2.0%,1.5,26.8%,17.9%
2019 Indian Wells Masters R128,W vs Paire,11,20,0.6,7.6%,13.8%,9,16,0.6,7.1%,12.7%,5.6%,1.6%,0.7,17.9%,25.5%
2019 Davis Cup RR,L vs Berrettini,5,19,0.3,4.8%,18.1%,5,19,0.3,5.1%,19.2%,4.0%,1.0%,1.3,23.8%,18.1%
2018 Anning CH F,W vs Safwat,16,32,0.5,9.2%,18.5%,12,23,0.5,7.8%,14.9%,6.5%,1.3%,0.4,11.6%,26.0%
Career (10 matches),,154,282,0.5,10.7%,19.6%,126,253,0.5,10.0%,20.0%,6.5%,1.0%,0.9,16.5%,17.4%
