Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2023,707,38,,,,,,,,,,,,
2022,348,140,310,1428,271,1414,328,1343,,,,,,
2021,219,293,275,1450,239,1440,291,1370,230,1364,,,,
2020,129,506,150,1585,129,1567,183,1476,,,976,25,,
2019,124,442,157,1604,137,1577,148,1545,177,1456,959,25,,
2018,110,521,119,1658,121,1612,145,1547,127,1515,248,204,,
2017,243,215,320,1380,296,1367,329,1240,,,553,90,,
2016,320,148,320,1367,298,1342,319,1295,,,,,,
2015,484,81,,,,,,,,,,,,
2014,1400,3,,,,,,,,,,,,
2013,484,74,,,,,,,,,1107,18,,
2012,899,12,,,,,,,,,,,,
2008,991,9,,,,,,,,,,,,
