Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,17,Hard,27,10,17,37.0%,5,2,3,40.0%,2007,2026,R64,13,0.81,5.2%,5.2%,53.0%,62.6%,43.1%,53.4%,37.5%,41.2%,53.1%
Roland Garros,14,Clay,20,6,14,30.0%,5,1,4,20.0%,2009,2025,R64,12,0.82,3.4%,3.1%,57.3%,57.4%,42.1%,50.8%,40.4%,51.2%,36.3%
Wimbledon,15,Grass,32,17,15,53.1%,5,2,3,40.0%,2007,2025,SF,19,0.96,5.2%,4.8%,55.1%,66.3%,46.6%,57.5%,40.9%,52.5%,45.2%
US Open,17,Hard,28,11,17,39.3%,6,2,4,33.3%,2007,2025,R64,15,0.93,7.6%,5.0%,52.5%,66.6%,44.2%,56.0%,41.0%,58.9%,43.7%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2024,2024,R64,1,0.49,0.0%,5.4%,62.2%,34.8%,21.4%,29.7%,34.1%,25.0%,0.0%
Fed Cup,7,,10,6,4,60.0%,2,1,1,50.0%,2006,2020,,4,0.95,5.9%,2.5%,58.1%,69.0%,40.0%,56.8%,40.9%,55.9%,58.3%
Miami,14,Hard,26,12,14,46.2%,3,2,1,66.7%,2009,2026,R16,18,1.00,5.0%,3.2%,52.9%,67.2%,47.1%,57.7%,42.1%,54.2%,44.4%
Indian Wells,16,Hard,23,7,16,30.4%,4,2,2,50.0%,2007,2026,R64,15,0.89,5.4%,4.7%,54.9%,65.5%,39.6%,53.8%,40.9%,51.9%,56.3%
Merida,3,Hard,3,0,3,0.0%,1,0,1,0.0%,2023,2026,R32,3,0.79,4.2%,3.3%,53.5%,63.2%,43.4%,54.0%,36.5%,46.2%,34.8%
Dubai,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2011,2026,R32,3,1.10,8.0%,4.5%,54.7%,71.8%,51.6%,62.7%,41.0%,50.0%,33.3%
Doha,4,Hard,4,0,4,0.0%,0,0,0,-,2011,2026,R64,3,0.57,5.4%,4.8%,57.1%,56.0%,38.1%,48.3%,29.4%,50.0%,16.7%
Hobart,7,Hard,11,4,7,36.4%,3,1,2,33.3%,2010,2026,R16,9,0.91,5.2%,3.3%,59.8%,64.6%,41.1%,55.2%,40.6%,43.5%,36.8%
