Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,227,74,153,32.6%,181-321,36.1%,2030-2531,44.5%,20-26,43.5%,182,61.0%,29.5%,5.7%,4.3%,55.0%,64.6%,43.1%,54.9%,40.7%,47.9%,0.90
Clay,124,50,74,40.3%,115-160,41.8%,1177-1303,47.5%,10-16,38.5%,90,61.5%,34.7%,4.5%,3.6%,55.6%,61.7%,47.3%,55.3%,43.0%,49.2%,0.96
Grass,54,28,26,51.9%,66-67,49.6%,629-668,48.5%,12-8,60.0%,48,70.7%,27.1%,5.9%,4.1%,58.8%,68.4%,45.8%,59.1%,39.9%,49.7%,0.98
Carpet,2,2,0,100.0%,4-0,100.0%,24-14,63.2%,0-0,-,0,,,,,,,,,,,
Grand Slams,69,20,49,29.0%,50-108,31.6%,634-842,43.0%,5-8,38.5%,56,58.8%,26.8%,5.3%,4.6%,54.7%,63.1%,44.1%,54.5%,40.0%,47.4%,0.88
Premiers,58,16,42,27.6%,45-86,34.4%,532-685,43.7%,6-12,33.3%,49,61.0%,28.1%,5.7%,3.7%,58.4%,64.5%,42.3%,55.3%,40.2%,47.8%,0.90
Internationals,224,96,128,42.9%,222-282,44.0%,2190-2387,47.8%,23-27,46.0%,168,65.5%,32.2%,5.4%,4.0%,56.0%,65.2%,45.9%,56.7%,42.0%,49.5%,0.97
Finals,4,4,0,100.0%,8-2,80.0%,55-40,57.9%,0-0,-,4,81.6%,32.6%,5.9%,4.1%,60.8%,70.9%,48.9%,62.2%,41.7%,52.8%,1.11
Semi-finals,10,4,6,40.0%,11-13,45.8%,97-117,45.3%,1-0,100.0%,10,66.1%,23.1%,4.7%,4.1%,58.8%,66.9%,44.2%,57.5%,38.6%,48.2%,0.91
Quarter-finals,23,10,13,43.5%,26-29,47.3%,236-261,47.5%,5-2,71.4%,20,66.0%,33.0%,4.8%,4.1%,56.4%,64.3%,47.5%,57.0%,41.6%,49.7%,0.97
vs Righties,372,131,241,35.2%,325-520,38.5%,3517-4218,45.5%,33-47,41.3%,287,62.6%,29.8%,5.5%,4.1%,55.8%,64.4%,44.5%,55.6%,40.8%,48.3%,0.92
vs Lefties,29,17,12,58.6%,31-28,52.5%,278-278,50.0%,9-2,81.8%,27,61.5%,36.3%,4.9%,4.1%,57.4%,65.2%,44.3%,56.3%,45.0%,50.7%,1.03
vs Top 10,26,6,20,23.1%,16-41,28.1%,202-302,40.1%,3-3,50.0%,20,59.6%,22.8%,4.2%,4.1%,57.1%,61.9%,43.9%,54.2%,37.5%,46.3%,0.82
