Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Brisbane R64,L vs Jones,88.3%,47.2%,5.0%,3/0,2.19,10.0%,86.5%,43.8%,5.4%,2.04,18.2%,100.0%,52.4%,4.8%,2.40,0.0%
2025 Queens Club F,W vs Anisimova,81.6%,52.5%,14.3%,3/4,2.69,2.0%,76.5%,50.0%,11.8%,2.63,3.2%,100.0%,57.1%,21.4%,2.79,0.0%
2025 BJK Cup Qualifiers RR,L vs Boulter,78.5%,39.2%,9.2%,4/2,2.38,13.5%,77.8%,31.4%,6.7%,2.28,25.9%,100.0%,56.3%,18.8%,2.48,0.0%
2025 BJK Cup Qualifiers RR,L vs Lamens,84.5%,39.0%,1.0%,1/0,2.38,1.6%,89.5%,33.3%,1.8%,2.03,2.9%,93.9%,48.4%,0.0%,2.83,0.0%
2024 US Open R128,W vs Sierra,80.0%,54.5%,1.8%,1/0,2.58,29.2%,88.2%,56.7%,0.0%,2.19,63.6%,87.5%,50.0%,6.3%,2.92,0.0%
2024 Madrid R128,W vs Stearns,87.7%,49.0%,7.0%,8/0,2.53,4.9%,90.6%,53.2%,1.2%,2.39,7.3%,82.1%,34.8%,25.0%,2.67,2.4%
2023 Bad Homburg R32,L vs Swiatek,80.3%,36.8%,8.5%,5/1,2.32,14.3%,81.0%,36.2%,3.4%,2.20,25.8%,83.3%,40.0%,33.3%,2.47,0.0%
2023 Roland Garros R128,L vs Haddad Maia,72.9%,48.6%,4.2%,1/1,2.58,6.7%,69.7%,60.9%,6.1%,2.64,11.8%,92.3%,25.0%,0.0%,2.50,0.0%
2023 Rabat R32,W vs Prozorova,88.7%,51.1%,7.5%,6/2,2.31,12.3%,90.5%,54.4%,4.8%,2.28,18.0%,100.0%,45.9%,13.5%,2.35,3.2%
2023 Bogota F,W vs Stearns,89.9%,39.4%,5.1%,1/3,2.75,5.3%,89.5%,37.3%,7.0%,2.65,8.6%,95.2%,45.0%,0.0%,2.91,0.0%
2023 Miami R128,L vs Vondrousova,73.2%,40.0%,2.4%,0/1,2.41,34.0%,82.1%,43.5%,3.6%,2.52,61.5%,70.0%,28.6%,0.0%,2.28,0.0%
2023 Auckland R32,L vs Gauff,73.6%,41.0%,1.9%,1/0,2.38,5.4%,76.7%,39.1%,3.3%,2.19,8.1%,76.2%,43.8%,0.0%,2.75,0.0%
2022 Granby QF,L vs Parry,84.6%,36.5%,1.6%,2/0,-,36.9%,82.5%,39.4%,0.0%,-,21.9%,90.5%,31.6%,4.8%,-,51.5%
2022 Granby R32,W vs Podoroska,80.3%,59.2%,1.6%,1/0,-,7.9%,80.0%,64.3%,0.0%,-,14.3%,91.3%,52.4%,4.3%,-,4.2%
2022 Wimbledon SF,L vs Jabeur,78.4%,36.2%,5.4%,1/3,2.46,51.2%,66.7%,45.8%,0.0%,2.49,68.9%,94.4%,29.4%,11.1%,2.43,29.7%
2022 Wimbledon QF,W vs Niemeier,71.0%,46.5%,2.0%,2/0,2.39,36.7%,80.0%,41.7%,1.7%,2.49,63.6%,79.3%,56.5%,3.4%,2.26,2.9%
2022 Wimbledon R16,W vs Ostapenko,79.5%,50.5%,9.8%,8/4,2.57,18.0%,85.1%,46.0%,5.4%,2.29,27.6%,79.1%,58.8%,18.6%,2.96,4.8%
2022 Wimbledon R64,W vs Cirstea,80.9%,55.6%,5.6%,2/3,2.58,7.8%,75.0%,55.6%,5.0%,2.46,15.2%,100.0%,55.6%,7.4%,2.70,0.0%
2022 Bogota F,W vs Pigossi,91.7%,45.5%,0.0%,0/0,2.45,0.0%,93.2%,46.4%,0.0%,2.43,0.0%,90.5%,42.1%,0.0%,2.47,0.0%
2021 ITF Santarem R16,L vs Ozgen,80.2%,50.6%,1.0%,0/1,-,27.8%,91.2%,50.0%,0.0%,-,37.5%,96.2%,52.0%,3.8%,-,13.6%
Last 52 Weeks (4 matches),,83.4%,43.4%,6.3%,64.7%,2.42,6.4%,83.2%,38.2%,5.8%,2.25,11.3%,97.6%,52.4%,8.3%,2.64,0.0%
Career (35 matches),,81.4%,46.5%,5.1%,64.4%,2.42,13.2%,83.4%,45.0%,2.5%,2.35,20.5%,88.4%,49.1%,10.7%,2.50,5.2%
