Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Canada R64,L vs Monfils,0.82,0.66,37.3,2.7,-,55.8%,-,59.6%,42.0%,25.0%
2019 Granby CH SF,L vs Uchiyama,0.94,0.71,62.1,2.2,-,70.0%,-,64.9%,25.0%,24.2%
2019 Granby CH QF,W vs Diez,1.29,1.55,43.0,2.0,-,71.4%,-,61.1%,34.4%,48.1%
2019 Granby CH R16,W vs Galarneau,0.99,1.69,46.2,2.6,-,69.0%,-,75.0%,54.8%,40.0%
2019 Gatineau CH R32,W vs Uchida,0.93,1.13,52.2,32.8,-,55.1%,-,56.5%,52.0%,55.1%
2019 Surbiton CH R16,L vs Troicki,0.78,0.29,36.0,2.1,-,56.8%,-,71.4%,13.3%,13.6%
2019 Heilbronn CH R16,L vs Krajinovic,0.94,0.63,46.5,2.1,-,57.1%,-,55.9%,33.3%,24.0%
2019 Aix En Provence CH R32,L vs Nys,0.80,0.79,66.3,3.2,5.6%,58.3%,6.5%,61.3%,36.6%,43.6%
2019 Puerto Vallarta CH R16,L vs Rola,1.19,0.86,73.6,3.2,2.9%,55.9%,4.7%,56.3%,27.8%,36.0%
2019 Puerto Vallarta CH R32,W vs Arevalo,1.14,1.31,53.6,13.3,13.6%,68.2%,10.5%,65.8%,30.6%,46.5%
2019 Tallahassee CH R32,L vs Coria,0.95,0.56,40.4,2.4,6.9%,55.2%,0.0%,42.9%,29.2%,30.4%
2019 Sarasota CH QF,L vs Sandgren,0.82,0.68,48.0,3.9,0.0%,57.6%,3.6%,71.4%,24.3%,36.7%
2019 Sarasota CH R16,W vs Brooksby,0.98,1.10,91.1,7.6,8.3%,62.5%,13.6%,54.5%,41.4%,51.9%
2019 Sarasota CH R32,W vs Altamirano,1.59,2.64,31.5,2.1,11.1%,74.1%,19.0%,76.2%,44.4%,38.5%
2019 Houston Q1,L vs King,1.26,0.57,45.0,3.0,5.0%,45.0%,0.0%,50.0%,18.2%,31.3%
2019 Monterrey CH QF,L vs Gomez,0.83,0.75,54.5,2.1,2.6%,64.1%,5.3%,52.6%,37.8%,37.1%
2019 Monterrey CH R16,W vs Eubanks,1.04,1.53,57.6,2.4,7.9%,68.4%,25.0%,87.5%,28.6%,39.5%
2019 Monterrey CH R32,W vs Tipsarevic,1.23,1.52,49.6,2.3,10.5%,65.8%,5.3%,50.0%,57.7%,45.8%
2019 Phoenix CH R32,L vs Jarry,1.12,0.82,62.9,7.3,0.0%,54.8%,5.0%,57.5%,28.9%,35.9%
2019 Phoenix CH R64,W vs Nielsen,1.27,1.29,59.0,2.6,9.1%,77.3%,2.6%,59.0%,26.5%,37.9%
2019 (25 matches),,1.03,0.94,57.6,2.8,6.5%,61.7%,5.9%,59.5%,34.1%,38.1%
2018 (27 matches),,1.00,0.87,56.4,2.7,7.1%,62.8%,5.4%,62.6%,31.7%,33.5%
2017 (24 matches),,0.96,0.93,60.6,3.0,8.3%,63.0%,5.7%,62.3%,34.9%,37.1%
2016 (17 matches),,1.08,1.04,53.4,2.7,6.6%,65.0%,4.1%,56.1%,36.3%,39.1%
2015 (4 matches),,0.96,1.07,51.7,2.5,4.5%,66.9%,7.6%,65.5%,38.5%,37.2%
Career (134 matches),,1.00,0.92,57.2,2.8,6.5%,61.8%,5.2%,60.3%,34.8%,37.0%
