Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2022,1487,2,,,,,,,,,,,,
2021,285,196,298,1420,279,1398,310,1344,,,,,,
2020,218,270,267,1393,252,1380,253,1344,,,174,431,,
2019,184,279,255,1483,236,1460,265,1416,202,1419,181,381,,
2018,119,482,177,1561,161,1536,230,1456,153,1489,123,623,,
2017,137,404,183,1562,159,1543,224,1457,184,1438,228,283,,
2016,135,452,173,1574,160,1546,179,1508,,,139,560,,
2015,712,36,225,1500,212,1455,,,,,288,240,,
2014,186,270,192,1552,187,1511,178,1509,192,1413,181,423,,
2013,141,398,164,1590,134,1575,203,1480,196,1416,143,505,,
2012,180,288,238,1495,203,1476,237,1444,228,1392,331,193,,
2011,285,161,246,1486,207,1470,240,1429,234,1375,377,148,,
2010,207,240,183,1551,156,1536,210,1480,189,1425,546,81,,
2009,185,253,155,1601,123,1589,149,1551,,,554,84,,
2008,214,190,201,1536,180,1491,192,1505,183,1447,480,99,,
2007,343,102,399,1301,393,1247,362,1280,,,622,59,,
2006,821,15,,,,,,,,,1025,16,,
2005,1147,5,,,,,,,,,1248,9,,
2004,1463,1,,,,,,,,,1760,1,,
