Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,3,0,3,0.0%,1-6,14.3%,29-43,40.3%,1-1,50.0%,3,73.5%,8.3%,5.9%,4.6%,52.1%,73.7%,48.6%,61.6%,30.2%,45.8%,0.79,R32 (2x)
2018,14,3,11,21.4%,8-28,22.2%,152-214,41.5%,3-8,27.3%,14,75.3%,10.4%,4.9%,3.3%,57.7%,69.2%,50.1%,61.1%,30.7%,46.1%,0.79,R16 (Los Cabos)
2017,6,2,4,33.3%,8-8,50.0%,70-83,45.8%,2-1,66.7%,6,69.3%,20.5%,6.5%,3.8%,58.5%,66.6%,46.8%,58.3%,35.5%,47.3%,0.85,R16 (Los Cabos)
2016,3,1,2,33.3%,2-5,28.6%,35-35,50.0%,0-2,0.0%,3,79.4%,23.5%,3.1%,3.1%,61.6%,61.6%,64.0%,62.5%,34.8%,49.2%,0.93,R32 (Canada Masters)
2014,10,2,8,20.0%,6-19,24.0%,98-140,41.2%,2-0,100.0%,8,63.8%,20.0%,4.7%,5.1%,58.6%,64.7%,47.5%,57.5%,34.9%,46.2%,0.82,R16 (Bogota)
2013,1,0,1,0.0%,1-2,33.3%,12-16,42.9%,0-0,-,1,50.0%,35.7%,0.0%,7.3%,51.2%,61.9%,40.0%,51.2%,43.5%,47.3%,0.89,R64 (Canada Masters)
2012,1,0,1,0.0%,1-2,33.3%,13-12,52.0%,0-0,-,1,58.3%,46.2%,1.3%,2.7%,54.7%,56.1%,50.0%,53.3%,49.4%,51.3%,1.06,R64 (Canada Masters)
2011,2,1,1,50.0%,2-3,40.0%,21-23,47.7%,0-0,-,0,,,,,,,,,,,,
2010,8,4,4,50.0%,12-11,52.2%,118-112,51.3%,4-2,66.7%,5,80.0%,20.8%,6.6%,3.1%,60.0%,72.1%,53.6%,64.7%,36.2%,50.1%,1.02,
2009,6,2,4,33.3%,11-11,50.0%,112-116,49.1%,2-2,50.0%,4,77.5%,18.3%,6.2%,4.9%,56.5%,72.8%,46.6%,61.4%,35.8%,48.7%,0.93,
2008,6,3,3,50.0%,9-7,56.3%,85-80,51.5%,2-2,50.0%,2,58.3%,21.7%,7.1%,1.3%,59.4%,57.6%,44.4%,52.3%,38.7%,45.6%,0.81,
2007,3,1,2,33.3%,3-5,37.5%,36-43,45.6%,1-1,50.0%,1,63.6%,20.0%,6.3%,6.3%,58.2%,67.4%,45.5%,58.2%,36.0%,47.4%,0.86,
2006,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-1,0.0%,1,90.0%,0.0%,6.7%,4.0%,70.7%,73.6%,45.5%,65.3%,26.1%,46.5%,0.75,R64 (Canada Masters)
Career,64,19,45,29.7%,64-109,37.0%,790-930,45.9%,17-20,45.9%,49,72.2%,17.4%,5.4%,3.9%,58.1%,68.0%,49.3%,60.1%,34.3%,47.3%,0.86,
