Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 Canada R64,L vs Monfils,27% (4/15),50% (2/4),0/4,44% (7/16),14% (1/7),2/2,0/0,1/2,0/0,0/0
2019 Granby CH SF,L vs Uchiyama,15% (2/13),50% (1/2),0/1,27% (3/11),67% (2/3),0/0,0/0,3/3,0/0,1/1
2019 Granby CH QF,W vs Diez,27% (3/11),67% (2/3),0/1,18% (2/11),50% (1/2),2/2,1/1,1/1,0/0,0/0
2019 Granby CH R16,W vs Galarneau,36% (4/11),100% (4/4),0/1,27% (3/11),67% (2/3),4/4,2/2,1/1,1/1,0/0
2019 Gatineau CH R32,W vs Uchida,53% (9/17),78% (7/9),2/4,25% (5/20),0% (0/5),6/6,1/1,1/2,1/1,0/0
2019 Surbiton CH R16,L vs Troicki,0% (0/10),- (0/0),0/2,20% (2/10),0% (0/2),0/0,0/0,2/2,0/0,0/0
2019 Heilbronn CH R16,L vs Krajinovic,7% (1/14),100% (1/1),0/3,50% (6/12),50% (3/6),1/1,0/0,1/1,0/0,0/0
2019 Aix En Provence CH R32,L vs Nys,45% (5/11),40% (2/5),1/3,27% (3/11),0% (0/3),0/2,0/0,2/2,0/0,0/0
2019 Puerto Vallarta CH R16,L vs Rola,19% (3/16),67% (2/3),1/4,53% (8/15),50% (4/8),2/2,0/0,2/2,0/0,0/0
2019 Puerto Vallarta CH R32,W vs Arevalo,36% (5/14),60% (3/5),0/2,21% (3/14),33% (1/3),2/2,1/1,1/1,1/1,0/0
2019 Tallahassee CH R32,L vs Coria,25% (2/8),50% (1/2),0/3,67% (6/9),17% (1/6),0/1,0/0,0/2,0/0,0/1
2019 Sarasota CH QF,L vs Sandgren,9% (1/11),100% (1/1),0/2,20% (2/10),0% (0/2),0/1,0/1,1/1,0/0,1/1
2019 Sarasota CH R16,W vs Brooksby,60% (9/15),56% (5/9),2/4,29% (4/14),0% (0/4),4/5,1/1,0/0,0/0,0/0
2019 Sarasota CH R32,W vs Altamirano,63% (5/8),60% (3/5),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2019 Houston Q1,L vs King,13% (1/8),100% (1/1),0/4,67% (6/9),17% (1/6),0/1,0/0,0/1,0/0,0/1
2019 Monterrey CH QF,L vs Gomez,30% (3/10),67% (2/3),0/3,36% (4/11),0% (0/4),1/2,0/0,2/3,0/0,2/2
2019 Monterrey CH R16,W vs Eubanks,17% (2/12),50% (1/2),0/1,17% (2/12),50% (1/2),0/1,0/1,1/1,0/0,0/0
2019 Monterrey CH R32,W vs Tipsarevic,63% (5/8),100% (5/5),1/2,56% (5/9),60% (3/5),3/5,2/2,0/0,1/1,0/0
2019 Phoenix CH R32,L vs Jarry,20% (3/15),100% (3/3),0/5,43% (6/14),17% (1/6),1/2,0/0,2/2,0/0,1/1
2019 Phoenix CH R64,W vs Nielsen,20% (2/10),100% (2/2),0/1,9% (1/11),0% (0/1),2/2,1/1,2/2,1/1,0/0
2019 (25 matches),,28.7%,67.1%,14.3%,34.2%,29.4%,72.5%,84.6%,79.5%,100.0%,83.3%
2018 (27 matches),,23.5%,55.8%,12.5%,32.0%,30.4%,87.9%,60.0%,80.6%,66.7%,70.0%
2017 (24 matches),,29.4%,67.0%,14.5%,35.2%,34.6%,76.8%,77.8%,80.5%,80.0%,72.7%
2016 (17 matches),,33.2%,75.0%,18.4%,35.9%,33.3%,81.4%,68.8%,65.2%,55.6%,28.6%
2015 (4 matches),,38.6%,58.8%,0.0%,23.3%,20.0%,75.0%,66.7%,66.7%,0.0%,-
Career (134 matches),,29.4%,67.4%,16.2%,35.6%,30.3%,74.7%,68.8%,74.2%,62.9%,63.6%
