Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),126,499,122,1676,112,1642,297,1405,,,,,,
2025,174,330,193,1574,169,1553,339,1354,,,,,,
2024,326,153,373,1364,348,1342,385,1256,,,332,189,,
2023,257,233,230,1518,221,1476,311,1360,,,,,,
2022,455,87,,,,,,,,,,,,
2021,672,38,,,,,,,,,,,,
2020,861,17,,,,,,,,,390,116,,
2019,908,12,,,,,,,,,449,90,,
2010,,,,,,,,,,,72,1130,61,1652
2009,,,,,,,,,,,29,2215,48,1690
2009,,,,,,,,,,,29,2215,48,1690
2008,,,,,,,,,,,30,1440,47,1691
2007,,,,,,,,,,,12,2870,20,1795
2006,,,,,,,,,,,9,3620,16,1796
2005,,,,,,,,,,,21,1945,35,1714
2004,,,,,,,,,,,17,2235,28,1741
2003,,,,,,,,,,,15,2605,21,1737
2002,564,31,,,,,,,,,12,2670,21,1752
2001,396,71,,,,,,,,,36,1514,,
2000,78,530,,,,,,,,,21,2134,,
1999,104,451,96,1728,137,1588,,,55,1674,55,1080,,
1998,76,657,,,,,,,,,22,1983,,
1997,61,718,,,,,,,,,20,2145,,
1996,50,859,,,,,,,,,38,1498,,
1995,59,,,,,,,,,,64,1004,,
1994,100,,,,,,,,,,17,1790,,
1993,80,,,,,,,,,,46,1187,,
1992,91,,,,,,,,,,94,621,,
1991,147,,,,,,,,,,103,513,,
1990,317,,,,,,,,,,238,162,,
1989,722,,,,,,,,,,1009,,,
