Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2020 US Open R128,L vs Scott,21.1%,22.5%,52.1%,27.9%,30.2%,48.4%,61.1%,40.0%,33.3%,15.0%,15.0%,58.8%,62.5%,25.0%,0.0%,5
2019 s Hertogenbosch QF,L vs Bertens,27.6%,36.2%,48.6%,33.3%,41.7%,50.0%,52.9%,36.8%,0.0%,23.5%,35.3%,46.2%,44.4%,12.5%,-,90
2019 Indian Wells R32,L vs Kerber,13.2%,16.5%,45.7%,15.0%,18.3%,49.0%,75.0%,21.4%,9.1%,13.6%,18.2%,36.8%,70.0%,0.0%,0.0%,-7
2018 ITF Dubai R32,L vs Mladenovic,14.3%,19.0%,31.1%,23.5%,29.4%,23.1%,26.7%,36.8%,33.3%,5.0%,10.0%,42.1%,9.1%,22.2%,0.0%,-79
2018 Rome Q2,W vs Sabalenka,21.6%,27.0%,45.1%,14.6%,24.4%,48.6%,66.7%,45.0%,50.0%,38.5%,38.5%,37.5%,18.2%,40.0%,0.0%,-18
2017 Moscow R16,W vs Vesnina,43.9%,56.1%,62.2%,53.2%,68.1%,77.3%,80.0%,40.7%,-,21.1%,26.3%,40.0%,14.3%,50.0%,-,-104
2017 Linz R16,L vs Cirstea,22.5%,31.4%,49.4%,19.0%,31.7%,54.9%,64.3%,62.9%,80.0%,29.7%,32.4%,38.5%,18.2%,53.8%,50.0%,-42
2017 Beijing R64,L vs Kasatkina,20.5%,24.4%,44.2%,30.0%,37.5%,57.1%,71.4%,63.2%,50.0%,14.3%,14.3%,29.2%,28.6%,28.6%,0.0%,2
2017 Stanford R32,W vs Lao,21.5%,30.8%,54.9%,29.4%,44.1%,62.5%,55.6%,62.5%,-,12.9%,16.1%,48.1%,30.0%,52.4%,50.0%,-104
2017 s Hertogenbosch F,L vs Kontaveit,23.6%,25.5%,37.8%,31.0%,34.5%,50.0%,64.7%,58.3%,50.0%,19.0%,19.0%,23.5%,85.7%,0.0%,0.0%,58
2017 Prague R16,L vs Siniakova,23.0%,28.7%,41.3%,28.1%,33.3%,36.6%,60.0%,34.4%,20.0%,15.4%,23.1%,50.0%,37.5%,60.0%,0.0%,35
2016 Limoges QF,W vs Korpatsch,33.3%,40.9%,46.3%,42.9%,54.8%,54.2%,52.6%,17.4%,33.3%,19.0%,19.0%,35.3%,16.7%,11.1%,-,47
2016 ITF Saint Petersburg F,W vs Vekic,33.3%,41.3%,40.4%,42.6%,55.3%,48.1%,25.0%,52.2%,60.0%,20.0%,20.0%,30.0%,10.0%,33.3%,0.0%,25
2016 St Petersburg R32,L vs Niculescu,10.7%,21.4%,40.4%,16.1%,35.5%,50.0%,41.7%,31.6%,25.0%,4.5%,4.5%,28.6%,50.0%,25.0%,0.0%,-73
2015 Shenzhen R16,L vs Halep,16.1%,23.2%,40.5%,20.7%,31.0%,56.5%,33.3%,47.1%,50.0%,13.6%,18.2%,21.1%,38.5%,22.2%,100.0%,9
Career (15 matches),,23.0%,29.5%,45.4%,28.4%,37.8%,50.3%,57.5%,42.5%,35.4%,18.2%,21.0%,37.7%,34.4%,32.5%,17.4%,57
