Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-07-24),1034,14,,,,,,,,,,,,
2022,382,131,255,1435,232,1420,239,1394,,,,,,
2021,195,349,186,1520,186,1478,155,1509,144,1473,,,,
2020,145,519,120,1609,115,1583,98,1588,,,428,162,,
2019,115,590,111,1686,108,1646,88,1643,99,1573,396,162,,
2018,134,448,104,1674,107,1636,108,1592,90,1574,335,180,,
2017,56,1033,93,1717,88,1678,114,1567,55,1645,754,34,,
2016,132,466,154,1581,135,1582,156,1490,87,1584,518,81,,
2015,237,201,,,,,,,,,378,131,,
2014,588,36,,,,,,,,,,,,
2013,1149,6,,,,,,,,,911,21,,
