Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2020 US Open R128,L vs Scott,0.0%,-,7.4%,72.7%,13.7%,31.6%,0.0%,8.6%,26.1%,0.0%,-,21,38
2019 s Hertogenbosch QF,L vs Bertens,0.0%,-,3.6%,75.0%,14.5%,35.0%,0.0%,13.9%,20.0%,0.8%,100.0%,155,127
2019 Indian Wells R32,L vs Kerber,0.0%,-,5.0%,75.0%,7.6%,11.6%,7.9%,10.5%,9.7%,0.5%,50.0%,2,13
2018 ITF Dubai R32,L vs Mladenovic,0.0%,-,5.9%,71.4%,12.7%,20.0%,0.0%,18.6%,30.0%,0.0%,-,136,127
2018 Rome Q2,W vs Sabalenka,0.0%,-,3.3%,80.0%,10.4%,24.0%,0.0%,8.8%,50.0%,0.0%,-,-42,-38
2017 Moscow R16,W vs Vesnina,0.0%,-,3.4%,80.0%,22.0%,43.5%,100.0%,10.2%,25.0%,0.0%,-,81,85
2017 Linz R16,L vs Cirstea,0.0%,-,2.1%,50.0%,11.5%,25.0%,0.0%,10.5%,27.8%,0.2%,0.0%,53,36
2017 Beijing R64,L vs Kasatkina,0.0%,-,3.9%,50.0%,8.3%,13.3%,0.0%,6.8%,14.3%,0.0%,-,-58,-25
2017 Stanford R32,W vs Lao,0.0%,-,4.5%,100.0%,12.7%,13.5%,0.0%,13.0%,33.3%,0.4%,100.0%,84,61
2017 s Hertogenbosch F,L vs Kontaveit,0.0%,-,3.5%,75.0%,8.6%,19.0%,0.0%,9.3%,25.0%,0.7%,0.0%,22,25
2017 Prague R16,L vs Siniakova,0.0%,-,5.7%,80.0%,17.7%,34.1%,100.0%,8.0%,22.7%,0.0%,-,50,45
2016 Limoges QF,W vs Korpatsch,0.0%,-,8.2%,70.0%,12.5%,26.3%,0.0%,7.2%,16.7%,0.0%,-,117,136
2016 ITF Saint Petersburg F,W vs Vekic,0.0%,-,4.5%,80.0%,12.0%,21.4%,0.0%,14.9%,22.2%,0.0%,-,50,67
2016 St Petersburg R32,L vs Niculescu,0.0%,-,15.0%,46.7%,3.2%,14.3%,0.0%,7.0%,19.0%,0.0%,-,16,-6
2015 Shenzhen R16,L vs Halep,0.0%,-,3.7%,75.0%,11.3%,11.1%,0.0%,7.6%,0.0%,0.0%,-,48,53
Career (15 matches),,0.0%,-,5.1%,70.2%,11.6%,22.6%,11.1%,9.7%,20.9%,0.2%,50.0%,38,42
