Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,32,22,10,68.8%,19,11,8,57.9%,2014,2024,F,32,1.10,8.8%,3.4%,61.7%,74.0%,51.2%,65.2%,38.3%,63.2%,35.5%
Roland Garros,11,Clay,40,29,11,72.5%,19,11,8,57.9%,2014,2024,F,40,1.17,5.0%,3.4%,60.6%,72.0%,53.4%,64.7%,41.2%,59.8%,40.5%
Wimbledon,7,Grass,12,5,7,41.7%,9,3,6,33.3%,2014,2023,R16,12,0.99,9.4%,3.0%,58.3%,76.2%,57.6%,68.5%,31.3%,64.1%,30.0%
US Open,10,Hard,32,23,9,71.9%,14,8,6,57.1%,2014,2024,W,32,1.13,7.4%,3.6%,59.7%,73.7%,54.8%,66.1%,38.4%,67.8%,42.6%
Davis Cup,7,,14,8,6,57.1%,7,4,3,57.1%,2014,2024,,7,1.37,4.6%,3.5%,60.0%,76.8%,59.9%,70.1%,41.1%,57.7%,56.6%
Vienna,14,Hard,29,16,13,55.2%,12,6,6,50.0%,2010,2024,W,29,1.05,9.4%,3.7%,57.7%,76.1%,51.9%,65.9%,35.7%,62.8%,39.1%
Kitzbuhel,11,Clay,28,18,10,64.3%,12,10,2,83.3%,2011,2024,W,28,1.03,5.8%,3.9%,58.9%,71.8%,54.1%,64.5%,36.6%,59.5%,39.8%
Madrid Masters,9,Clay,29,20,9,69.0%,11,4,7,36.4%,2014,2024,F,28,1.11,5.6%,2.9%,64.5%,74.8%,55.1%,67.9%,35.8%,71.9%,35.9%
Monte Carlo Masters,8,Clay,15,7,8,46.7%,2,0,2,0.0%,2014,2024,QF,15,0.94,5.4%,3.7%,60.1%,65.3%,50.4%,59.3%,38.4%,55.9%,35.2%
Indian Wells Masters,7,Hard,22,16,6,72.7%,12,6,6,50.0%,2014,2023,W,21,1.23,8.4%,3.9%,60.1%,75.9%,58.3%,68.9%,38.3%,63.5%,41.6%
Paris Masters,7,Hard,17,10,7,58.8%,7,2,5,28.6%,2014,2023,SF,17,0.99,7.0%,3.9%,59.7%,74.6%,51.3%,65.2%,34.6%,63.4%,45.3%
