Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,524,72,134,1658,97,1661,116,1609,125,1539,,,,
2023,98,652,62,1769,54,1736,53,1722,71,1611,,,,
2022,102,561,41,1832,33,1813,39,1761,,,,,,
2021,15,2425,19,1901,10,1918,9,1919,,,,,,
2020,3,9125,4,2089,4,2044,3,2050,,,103,870,,
2019,4,5825,6,2065,6,2005,3,2048,9,1841,78,1020,73,1662
2018,8,4095,7,2019,11,1942,4,2033,14,1829,178,360,103,1577
2017,5,4015,20,1934,26,1842,6,2016,20,1787,269,225,109,1515
2016,8,3415,15,1992,19,1908,9,1991,16,1826,94,825,89,1599
2015,20,1600,42,1826,49,1749,23,1857,89,1596,255,270,127,1460
2014,39,989,43,1832,47,1759,27,1834,107,1559,257,270,,
2013,139,410,85,1709,137,1570,70,1699,,,498,108,,
2012,309,147,,,,,,,,,579,87,,
2011,638,32,,,,,,,,,,,,
2010,921,9,,,,,,,,,,,,
