Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Vienna R32,L vs Darderi,29,25,1.2,23.4%,20.2%,17,24,0.7,16.5%,23.3%,9.7%,6.8%,1.5,17.7%,12.1%
2024 US Open R128,L vs Shelton,11,23,0.5,7.1%,14.9%,9,16,0.6,6.7%,11.9%,5.2%,1.5%,2.0,22.1%,11.0%
2024 Munich R32,L vs Moro Canas,16,27,0.6,11.9%,20.1%,14,25,0.6,11.1%,19.8%,7.1%,4.0%,0.8,15.7%,18.7%
2024 Estoril R32,W vs Marterer,20,41,0.5,11.1%,22.8%,14,38,0.4,8.7%,23.6%,6.2%,1.9%,0.3,9.4%,30.6%
2024 Szekesfehervar CH R32,L vs Michalski,28,30,0.9,20.4%,21.9%,26,29,0.9,19.5%,21.8%,12.8%,6.8%,1.8,17.5%,9.5%
2024 Australian Open R128,L vs Auger Aliassime,55,71,0.8,15.9%,20.5%,40,63,0.6,13.5%,21.2%,8.4%,4.4%,0.9,16.5%,17.6%
2024 Brisbane R32,L vs Nadal,17,24,0.7,17.0%,24.0%,14,21,0.7,15.6%,23.3%,11.1%,3.3%,1.4,15.0%,11.0%
2023 Metz R32,W vs Martineau,17,8,2.1,22.4%,10.5%,11,6,1.8,17.7%,9.7%,12.9%,4.8%,1.1,18.4%,17.1%
2023 Paris Masters R32,L vs Rune,16,22,0.7,14.0%,19.3%,12,18,0.7,12.4%,18.6%,6.2%,6.2%,1.7,23.7%,14.0%
2023 Paris Masters R64,W vs Wawrinka,38,31,1.2,20.7%,16.8%,30,29,1.0,19.0%,18.4%,12.7%,3.8%,1.2,21.2%,17.9%
2023 Vienna R32,L vs Tsitsipas,22,26,0.8,14.9%,17.6%,19,26,0.7,14.2%,19.4%,8.2%,6.0%,1.1,20.9%,18.9%
2023 Astana QF,L vs Ofner,20,40,0.5,10.5%,21.1%,15,38,0.4,8.6%,21.7%,2.9%,2.3%,0.9,18.4%,20.0%
2023 Astana R16,W vs Giron,49,38,1.3,25.5%,19.8%,41,35,1.2,24.3%,20.7%,15.4%,8.3%,1.2,16.1%,13.0%
2023 Astana R32,W vs Varillas,30,29,1.0,19.4%,18.7%,23,25,0.9,16.8%,18.2%,8.8%,4.4%,0.6,11.6%,20.0%
2023 US Open R64,L vs Shelton,15,9,1.7,17.0%,10.2%,13,7,1.9,17.3%,9.3%,12.0%,4.0%,1.5,23.9%,15.9%
2023 US Open R128,W vs Bublik,26,21,1.2,15.5%,12.5%,18,16,1.1,13.6%,12.1%,7.6%,5.3%,0.6,16.1%,26.2%
2023 Kitzbuhel F,L vs Baez,17,25,0.7,16.2%,23.8%,12,23,0.5,12.5%,24.0%,8.3%,4.2%,1.7,18.1%,10.5%
2023 Kitzbuhel SF,W vs Djere,35,60,0.6,12.9%,22.1%,26,55,0.5,10.6%,22.4%,6.9%,3.7%,0.9,14.8%,16.2%
2023 Gstaad R16,L vs Medjedovic,24,30,0.8,14.3%,17.9%,17,29,0.6,12.1%,20.6%,7.1%,4.3%,0.9,17.3%,19.6%
2023 Gstaad R32,W vs Muller,30,14,2.1,23.3%,10.9%,21,13,1.6,18.1%,11.2%,12.1%,4.3%,0.9,15.5%,17.1%
Career (303 matches),,8770,8940,1.0,16.6%,17.0%,7216,8198,0.9,15.2%,17.3%,8.1%,3.7%,0.8,14.2%,17.1%
