Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Vienna R32,L vs Darderi,64.1%,36.6%,3.1%,1/1,2.36,18.4%,57.5%,30.4%,5.0%,2.28,41.2%,81.8%,44.4%,0.0%,2.43,0.0%
2024 US Open R128,L vs Shelton,52.5%,18.8%,11.5%,3/4,2.38,19.0%,51.1%,17.4%,4.4%,2.13,42.9%,64.3%,22.2%,35.7%,2.59,0.0%
2024 Munich R32,L vs Moro Canas,79.2%,50.8%,2.6%,1/1,-,6.0%,75.9%,45.5%,1.7%,-,12.5%,94.4%,64.7%,5.6%,-,0.0%
2024 Estoril R32,W vs Marterer,70.5%,55.2%,1.1%,1/0,2.41,3.5%,69.5%,58.5%,0.0%,2.50,6.1%,89.7%,50.0%,3.4%,2.29,0.0%
2024 Szekesfehervar CH R16,L vs Michalski,77.9%,43.3%,1.3%,0/1,1.91,9.8%,75.5%,40.5%,0.0%,1.86,19.2%,85.2%,47.8%,3.7%,1.96,0.0%
2024 Australian Open R128,L vs Auger Aliassime,59.6%,41.4%,7.2%,6/6,2.48,8.5%,55.7%,40.7%,5.2%,2.54,13.1%,76.3%,42.2%,11.9%,2.39,0.0%
2024 Brisbane R32,L vs Nadal,65.2%,16.7%,4.3%,2/0,2.06,11.1%,61.3%,15.8%,6.5%,2.13,16.7%,78.6%,18.2%,0.0%,1.92,0.0%
2023 Metz R32,W vs Martineau,52.5%,51.6%,6.8%,1/3,1.75,22.7%,55.2%,56.3%,6.9%,1.63,33.3%,93.8%,46.7%,12.5%,2.00,0.0%
2023 Paris R32,L vs Rune,61.7%,43.2%,6.7%,2/2,2.23,16.2%,56.8%,33.3%,8.1%,2.23,27.3%,80.0%,56.3%,5.0%,2.23,0.0%
2023 Paris R64,W vs Wawrinka,60.7%,49.0%,2.4%,2/0,2.35,20.5%,52.2%,41.7%,2.2%,2.36,40.5%,84.4%,55.6%,3.1%,2.35,0.0%
2023 Vienna R32,L vs Tsitsipas,63.7%,43.1%,0.0%,0/0,2.29,7.8%,56.3%,33.3%,0.0%,2.09,11.1%,77.4%,54.2%,0.0%,2.52,4.2%
2023 Astana QF,L vs Ofner,69.5%,33.3%,4.9%,0/4,2.33,2.9%,62.3%,24.2%,7.5%,2.50,5.0%,88.9%,45.8%,0.0%,2.09,0.0%
2023 Astana R16,W vs Giron,66.0%,50.0%,5.0%,2/3,2.14,9.7%,63.9%,48.7%,1.6%,1.95,16.2%,71.1%,51.9%,10.5%,2.42,0.0%
2023 Astana R32,W vs Varillas,71.4%,50.9%,1.3%,0/1,2.16,0.0%,62.5%,50.0%,2.1%,1.83,0.0%,92.6%,52.0%,0.0%,2.40,0.0%
2023 US Open R128,W vs Bublik,56.3%,51.0%,1.1%,0/1,1.94,10.2%,54.8%,47.8%,2.4%,1.98,12.5%,92.9%,53.8%,0.0%,1.85,5.9%
2023 Kitzbuhel F,L vs Baez,77.4%,31.7%,1.9%,1/0,2.08,2.5%,79.5%,25.8%,0.0%,1.80,4.3%,83.3%,50.0%,8.3%,2.44,0.0%
2023 Kitzbuhel SF,W vs Djere,71.3%,35.6%,5.7%,4/3,2.26,16.3%,67.1%,38.2%,3.7%,2.26,28.1%,84.2%,31.3%,10.5%,2.26,0.0%
2023 Gstaad R16,L vs Medjedovic,49.4%,53.5%,1.1%,0/1,2.40,3.9%,51.0%,50.0%,2.0%,2.48,3.3%,63.0%,58.8%,0.0%,2.29,4.8%
2023 Gstaad R32,W vs Muller,63.6%,54.3%,10.9%,1/5,2.38,10.9%,46.9%,46.7%,6.3%,2.53,17.2%,90.9%,60.0%,18.2%,2.09,0.0%
2023 Wimbledon R128,L vs Tsitsipas,59.5%,33.0%,3.3%,2/3,2.23,30.6%,56.6%,30.4%,3.0%,2.23,47.5%,68.6%,37.1%,3.9%,2.23,10.0%
Career (239 matches),,69.6%,48.3%,3.2%,49.6%,2.25,12.2%,65.0%,45.0%,2.4%,2.21,18.2%,85.2%,53.1%,5.0%,2.31,4.0%
