Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,18,8,10,44.4%,2,2,0,100.0%,2008,2022,R64,9,0.88,2.0%,4.2%,63.9%,54.1%,39.8%,49.0%,44.9%,49.1%,46.3%
Roland Garros,8,Clay,10,2,8,20.0%,2,1,1,50.0%,2008,2021,R64,7,0.83,2.1%,3.5%,61.8%,57.5%,46.8%,53.4%,38.9%,50.0%,35.6%
Wimbledon,9,Grass,16,7,9,43.8%,2,2,0,100.0%,2008,2021,R64,12,1.00,2.6%,3.9%,63.8%,61.2%,41.0%,53.9%,45.9%,52.0%,48.5%
US Open,10,Hard,18,8,10,44.4%,1,0,1,0.0%,2008,2021,R64,14,1.01,2.1%,5.4%,57.8%,61.9%,41.7%,53.4%,47.0%,46.7%,45.4%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2012,2012,R32,2,0.93,2.2%,2.2%,58.9%,58.5%,43.2%,52.2%,44.5%,27.3%,53.3%
Fed Cup,8,,25,12,13,48.0%,3,1,2,33.3%,2006,2015,,0,,,,,,,,,,
Warsaw 125,2,Hard,3,1,2,33.3%,0,0,0,-,2024,2025,R16,3,0.86,1.6%,3.2%,66.3%,54.8%,42.9%,50.8%,42.2%,35.0%,33.3%
Eastbourne,4,Grass,7,3,4,42.9%,2,0,2,0.0%,2008,2022,R32,3,0.75,0.5%,5.3%,58.3%,47.5%,44.2%,46.1%,40.2%,37.9%,36.0%
Prague,4,Hard,7,3,4,42.9%,1,1,0,100.0%,2007,2021,R32,4,1.03,5.5%,6.3%,59.6%,61.2%,42.7%,53.7%,47.6%,56.3%,55.6%
Seoul,4,Hard,4,0,4,0.0%,1,0,1,0.0%,2009,2019,R32,4,0.81,1.1%,2.6%,66.8%,54.8%,42.0%,50.6%,40.0%,52.5%,60.0%
Nanchang,2,Hard,3,1,2,33.3%,2,1,1,50.0%,2016,2019,R32,3,1.00,1.0%,5.2%,58.2%,59.9%,45.0%,53.7%,46.2%,54.1%,51.6%
Miami,7,Hard,15,8,7,53.3%,2,0,2,0.0%,2009,2017,R64,11,0.92,1.6%,4.2%,66.3%,52.7%,43.5%,49.6%,46.6%,46.6%,53.2%
