Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Roland Garros Q3,W vs Faria,31.5%,46.3%,62.2%,43.0%,41.0%,51.3%,60.9%,56.9%,63.2%,45.0%,0.0%,6.7%,33.3%,64.3%,-79
2020 Sao Paulo CH F,W vs Ferreira Silva,27.3%,40.9%,53.2%,35.3%,27.9%,44.2%,51.6%,40.2%,83.3%,44.0%,50.0%,27.3%,36.4%,56.3%,-13
Career (2 matches),,29.2%,43.3%,57.1%,38.8%,34.1%,47.6%,55.6%,48.2%,73.0%,44.4%,25.0%,18.9%,35.1%,60.0%,-39
