Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),324,153,283,1487,287,1427,229,1478,156,1502,,,,
2025,225,251,194,1574,245,1470,152,1570,121,1546,,,,
2024,149,389,170,1597,205,1497,137,1584,113,1558,609,77,,
2023,148,423,171,1584,156,1547,164,1535,142,1505,,,,
2022,166,343,211,1532,324,1354,182,1523,,,,,,
2021,210,304,212,1542,283,1390,172,1528,196,1440,,,,
2020,231,250,118,1633,,,99,1617,,,138,624,,
2019,391,93,431,1287,427,1245,380,1289,,,178,393,,
2018,554,7,,,,,,,,,552,22,,
2017,947,12,,,,,,,,,637,74,,
2016,2054,1,,,,,,,,,1094,22,,
2015,2013,1,,,,,,,,,1178,20,,
