Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-10-28),1303,6,,,,,,,,,966,38,,
2021,994,21,,,,,,,,,,,,
2020,932,18,,,,,,,,,494,127,,
2019,1130,8,,,,,,,,,625,66,,
2018,,,,,,,,,,,686,27,,
2017,629,37,,,,,,,,,426,123,,
2016,448,73,,,,,,,,,343,153,,
2015,415,78,,,,,,,,,249,250,,
2014,417,73,,,,,,,,,289,176,,
2013,347,130,,,,,,,,,228,290,,
2012,411,89,,,,,,,,,518,78,,
2011,473,77,,,,,,,,,405,135,,
2010,1045,6,,,,,,,,,867,18,,
