Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Dallas R16,L vs Ruud,0.87,0.51,38.9,2.0,17.4%,60.9%,5.0%,40.0%,23.1%,34.8%
2023 US Open R32,L vs Draper,0.89,0.72,33.0,2.3,10.0%,60.0%,7.3%,60.0%,31.6%,33.3%
2023 US Open R128,W vs Khachanov,1.13,1.78,24.8,2.1,11.9%,73.8%,8.1%,62.2%,46.7%,53.5%
2023 Washington R32,W vs Hurkacz,1.02,1.14,87.7,4.3,3.4%,67.8%,7.4%,66.7%,38.8%,34.4%
2023 Wimbledon R64,L vs Marterer,0.91,0.69,37.4,2.2,19.0%,65.5%,11.8%,70.6%,27.3%,21.6%
2023 Wimbledon R128,W vs Auger Aliassime,1.07,1.25,49.5,3.0,5.0%,76.3%,12.1%,69.7%,30.0%,32.4%
2022 Fairfield CH F,W vs Diallo,1.30,2.35,30.6,2.1,0.0%,73.9%,5.3%,68.4%,50.0%,53.8%
2021 Australian Open R64,L vs Nadal,0.78,0.37,22.2,2.1,12.8%,48.7%,8.8%,58.8%,25.0%,19.4%
2021 Australian Open R128,W vs Troicki,1.15,1.08,57.7,34.0,6.3%,52.6%,3.4%,67.4%,38.0%,37.2%
2020 Roland Garros R128,L vs Herbert,0.75,0.55,24.4,2.0,2.4%,58.5%,2.6%,47.4%,26.0%,42.9%
2020 US Open R64,L vs Struff,0.97,0.42,25.2,2.2,4.7%,58.1%,2.6%,57.9%,20.5%,15.2%
2020 US Open R128,W vs Sousa,1.27,1.49,28.4,2.0,4.9%,67.2%,9.1%,65.5%,41.2%,37.2%
2020 Australian Open R64,L vs Bautista Agut,1.07,0.67,38.0,3.9,12.9%,54.3%,7.8%,59.4%,26.9%,27.1%
2020 Australian Open R128,W vs Andujar,1.40,1.85,22.3,2.0,12.5%,66.7%,4.7%,58.1%,54.8%,43.6%
2019 Gatineau CH R16,L vs Janvier,0.93,0.84,66.3,2.6,-,63.3%,-,50.9%,36.2%,40.4%
2019 Winnetka CH R32,L vs Smith,0.90,0.80,58.8,2.7,-,51.4%,-,63.6%,40.0%,36.8%
2019 Little Rock CH R32,L vs Shane,0.74,0.82,70.7,4.6,-,69.6%,-,51.3%,49.1%,36.0%
2019 Australian Open R128,L vs Albot,0.93,0.80,42.8,5.3,6.2%,46.2%,0.0%,58.6%,35.9%,47.5%
2019 Pune R16,L vs Darcis,0.90,0.93,73.8,9.8,3.6%,53.6%,0.0%,71.2%,35.8%,42.2%
2018 Knoxville CH R16,W vs Ymer,1.40,2.21,31.3,2.0,3.7%,77.8%,0.0%,66.7%,46.7%,40.7%
2025 (1 matches),,0.87,0.51,38.9,2.0,17.4%,60.9%,5.0%,40.0%,23.1%,34.8%
2023 (5 matches),,1.00,1.06,48.4,2.6,9.4%,68.9%,9.5%,66.2%,34.2%,34.3%
2022 (1 matches),,1.30,2.35,30.6,2.1,0.0%,73.9%,5.3%,68.4%,50.0%,53.8%
2021 (2 matches),,1.05,0.84,47.8,3.9,8.2%,51.5%,4.9%,65.0%,34.4%,32.5%
2020 (5 matches),,1.10,0.92,28.4,2.3,8.0%,60.8%,5.9%,58.4%,33.8%,34.0%
Career (181 matches),,1.06,1.07,52.5,2.7,5.8%,62.1%,4.3%,61.6%,37.5%,39.9%
