Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),128,493,115,1687,94,1664,115,1618,118,1547,,,,
2025,116,536,112,1680,92,1673,121,1614,124,1544,,,,
2024,64,795,61,1775,58,1731,84,1671,56,1657,1250,20,,
2023,68,780,84,1719,87,1664,89,1652,55,1640,,,,
2022,78,652,80,1735,73,1695,87,1658,64,1645,,,,
2021,175,388,100,1689,104,1637,117,1605,82,1604,,,,
2020,120,558,122,1625,122,1571,118,1576,,,661,53,,
2019,119,470,118,1667,111,1624,125,1577,,,640,53,,
2018,,,,,,,,,,,620,15,,
2017,393,105,341,1346,308,1342,324,1251,,,680,62,,
2016,237,217,,,,,,,,,,,,
2015,570,58,,,,,,,,,864,45,,
2014,487,74,,,,,,,,,642,74,,
2012,1683,1,,,,,,,,,,,,
2011,1730,1,,,,,,,,,,,,
