Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,12,4,8,33.3%,12,7,5,58.3%,2017,2026,R32,12,0.87,9.1%,2.0%,60.9%,72.6%,46.2%,62.3%,32.7%,67.4%,41.5%
Roland Garros,5,Clay,5,0,5,0.0%,2,1,1,50.0%,2020,2025,R128,5,0.77,3.8%,3.2%,65.7%,63.3%,45.1%,57.1%,33.2%,48.2%,21.4%
Wimbledon,4,Grass,9,5,4,55.6%,7,2,5,28.6%,2021,2025,R32,9,0.93,5.6%,1.9%,64.5%,71.8%,52.5%,64.9%,32.6%,66.2%,33.8%
US Open,6,Hard,11,5,6,45.5%,5,3,2,60.0%,2020,2025,R32,11,0.88,8.9%,2.5%,60.2%,72.2%,48.3%,62.7%,32.7%,64.8%,31.2%
Miami Masters,5,Hard,14,8,6,57.1%,9,6,3,66.7%,2021,2026,R16,14,0.98,10.5%,1.6%,64.5%,73.0%,51.2%,65.2%,34.1%,70.5%,48.5%
Indian Wells Masters,5,Hard,10,5,5,50.0%,2,0,2,0.0%,2022,2026,R64,10,0.94,8.7%,2.9%,58.5%,68.9%,48.0%,60.2%,37.4%,63.2%,31.5%
Dubai,6,Hard,17,11,6,64.7%,7,5,2,71.4%,2021,2026,R16,17,1.13,10.3%,1.0%,63.2%,75.3%,57.3%,68.7%,35.3%,57.4%,39.8%
Adelaide,3,Hard,6,3,3,50.0%,4,1,3,25.0%,2024,2026,QF,6,1.06,15.3%,3.4%,60.6%,80.3%,49.0%,68.0%,34.1%,66.7%,41.4%
Brisbane,3,Hard,5,1,4,20.0%,4,2,2,50.0%,2018,2026,R32,5,1.00,14.6%,1.6%,62.6%,74.4%,44.7%,63.3%,36.6%,48.3%,41.9%
Shanghai Masters,3,Hard,4,1,3,25.0%,3,1,2,33.3%,2023,2025,R64,4,0.84,6.0%,0.7%,59.8%,70.6%,48.8%,61.8%,32.2%,59.3%,44.4%
