Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,8,2,6,25.0%,7-12,36.8%,91-111,45.0%,3-2,60.0%,7,79.2%,11.9%,10.5%,1.8%,58.3%,70.6%,49.6%,61.8%,31.7%,47.4%,0.83,QF (Rotterdam)
2025,33,13,20,39.4%,29-45,39.2%,331-381,46.5%,5-8,38.5%,32,77.1%,16.3%,8.3%,2.4%,60.1%,68.4%,49.2%,60.8%,33.9%,47.7%,0.87,QF (2x)
2024,40,17,23,42.5%,44-52,45.8%,462-489,48.6%,8-9,47.1%,40,81.2%,15.9%,9.9%,2.6%,59.0%,74.0%,49.3%,63.9%,33.6%,49.0%,0.93,QF (2x)
2023,42,19,23,45.2%,50-59,45.9%,546-575,48.7%,16-12,57.1%,42,80.3%,17.0%,8.2%,2.3%,62.4%,73.0%,49.4%,64.1%,34.0%,49.1%,0.95,SF (Munich)
2022,18,6,12,33.3%,21-29,42.0%,249-270,48.0%,8-6,57.1%,18,78.6%,16.1%,9.0%,2.8%,63.5%,70.7%,49.3%,62.9%,34.9%,48.9%,0.94,SF (San Diego)
2021,13,4,9,30.8%,18-23,43.9%,217-229,48.7%,7-6,53.8%,13,83.4%,13.4%,7.9%,1.1%,63.5%,74.5%,51.4%,66.1%,32.4%,49.2%,0.96,QF (Atlanta)
2020,3,1,2,33.3%,4-7,36.4%,51-57,47.2%,1-1,50.0%,3,77.4%,18.5%,6.1%,1.6%,63.6%,69.0%,49.6%,62.0%,33.8%,49.1%,0.89,R64 (US Open)
2017,2,0,2,0.0%,1-5,16.7%,24-37,39.3%,1-1,50.0%,2,73.3%,3.4%,3.8%,3.3%,61.9%,64.6%,50.0%,59.0%,27.7%,44.0%,0.68,R32 (Sydney)
Career,159,62,97,39.0%,174-232,42.9%,1971-2149,47.8%,49-45,52.1%,157,79.8%,15.7%,8.7%,2.3%,61.3%,71.9%,49.6%,63.3%,33.6%,48.7%,0.91,
