Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2006 Tokyo F,L vs Federer,14.8%,55.6%,27.1%,51.7%,17.1%,23.1%,0.0%,15.4%,0.0%,1.1%,100.0%,57,113
2006 Queens Club SF,L vs Hewitt,6.9%,80.0%,17.9%,63.0%,22.2%,32.0%,22.2%,16.7%,25.0%,0.5%,100.0%,82,64
2005 Miami QF,L vs Federer,36.4%,56.3%,30.6%,60.0%,9.8%,11.1%,25.0%,4.3%,0.0%,0.0%,-,-58,-38
2004 Masters Cup RR,L vs Roddick,19.7%,85.7%,30.9%,65.2%,21.7%,21.2%,0.0%,20.0%,20.0%,0.0%,-,-7,-14
2004 US Open SF,L vs Federer,30.0%,47.6%,30.4%,52.1%,16.1%,26.3%,16.7%,5.6%,0.0%,0.0%,-,10,16
2004 Wimbledon R16,W vs Philippoussis,65.5%,63.2%,30.9%,65.9%,65.4%,20.0%,33.3%,68.8%,100.0%,0.0%,-,159,79
2004 Roland Garros SF,L vs Coria,27.2%,64.5%,42.6%,60.2%,10.6%,6.4%,22.2%,15.9%,33.3%,2.0%,0.0%,9,-10
2004 Indian Wells F,L vs Federer,25.0%,38.5%,29.9%,55.2%,7.1%,16.7%,0.0%,0.0%,0.0%,1.0%,100.0%,73,98
2004 Indian Wells SF,W vs Labadze,18.9%,57.1%,21.8%,73.7%,40.0%,25.0%,14.3%,11.1%,0.0%,1.1%,100.0%,50,84
2004 Rotterdam SF,L vs Hewitt,30.9%,47.1%,36.9%,50.0%,18.5%,26.3%,0.0%,0.0%,0.0%,1.7%,0.0%,76,57
2003 Paris F,W vs Pavel,17.0%,93.8%,23.9%,81.3%,35.0%,45.9%,25.0%,17.4%,66.7%,0.0%,-,117,103
2003 Paris SF,W vs Roddick,16.5%,85.7%,27.5%,75.5%,20.9%,25.6%,5.0%,20.0%,25.0%,0.4%,0.0%,88,71
2003 Paris QF,W vs Federer,21.9%,85.7%,25.4%,74.2%,10.9%,20.0%,11.1%,33.3%,25.0%,0.0%,-,-17,-15
2002 Wimbledon SF,L vs Hewitt,62.6%,57.9%,49.2%,52.2%,10.9%,14.3%,0.0%,16.7%,20.0%,0.9%,0.0%,10,2
2002 Queens Club F,L vs Hewitt,40.0%,61.1%,46.1%,64.6%,13.9%,21.7%,0.0%,11.5%,42.9%,0.3%,100.0%,29,34
2002 Monte Carlo SF,L vs Moya,1.9%,100.0%,22.4%,65.2%,5.5%,4.3%,14.3%,10.3%,66.7%,1.2%,20.0%,-41,-45
2002 Indian Wells F,L vs Hewitt,28.3%,33.3%,36.0%,50.0%,1.2%,0.0%,0.0%,4.0%,0.0%,0.9%,0.0%,-58,-61
2002 Indian Wells SF,W vs Martin,3.4%,100.0%,21.2%,88.0%,15.1%,20.0%,8.3%,47.1%,100.0%,0.0%,-,61,30
2001 Basel F,W vs Federer,62.2%,72.5%,44.4%,68.8%,15.1%,14.3%,0.0%,9.5%,0.0%,0.6%,100.0%,6,46
2001 Cincinnati SF,L vs Kuerten,55.0%,63.6%,38.8%,60.9%,13.6%,22.2%,0.0%,0.0%,0.0%,0.7%,0.0%,48,78
Career (42 matches),,50.4%,67.8%,35.5%,66.1%,17.9%,23.2%,10.0%,18.0%,30.7%,0.5%,25.0%,48,59
