Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2006 Tokyo F,L vs Federer,50.0%,34.8%,2.2%,0/1,1.89,33.3%,56.5%,46.2%,4.3%,1.87,30.4%,55.6%,20.0%,0.0%,1.95,40.0%
2006 Queens Club SF,L vs Hewitt,65.3%,46.9%,8.0%,3/3,2.01,4.0%,54.5%,54.2%,4.5%,1.93,6.7%,86.2%,40.0%,13.8%,2.13,0.0%
2005 Miami QF,L vs Federer,71.4%,34.3%,6.1%,1/2,2.10,16.2%,75.0%,33.3%,9.4%,1.91,11.1%,64.7%,36.4%,0.0%,2.22,21.1%
2004 Masters Cup RR,L vs Roddick,64.9%,38.0%,2.6%,0/2,2.22,3.8%,61.4%,29.6%,2.3%,2.37,6.1%,71.9%,47.8%,3.1%,1.97,0.0%
2004 US Open SF,L vs Federer,59.5%,44.0%,6.0%,1/4,1.91,20.0%,54.7%,44.8%,9.4%,2.02,7.1%,72.4%,42.9%,0.0%,1.77,36.4%
2004 Wimbledon R16,W vs Philippoussis,50.0%,57.1%,15.0%,6/15,2.03,16.2%,58.0%,55.3%,17.3%,1.96,22.2%,63.9%,60.9%,19.4%,2.14,6.9%
2004 Roland Garros SF,L vs Coria,71.1%,54.3%,5.3%,2/4,2.13,3.3%,74.1%,51.7%,3.7%,1.93,4.4%,72.4%,61.9%,10.3%,2.31,2.2%
2004 Indian Wells F,L vs Federer,55.6%,36.0%,4.4%,1/1,1.85,40.0%,48.1%,30.8%,7.4%,1.76,29.4%,66.7%,41.7%,0.0%,1.96,53.8%
2004 Indian Wells SF,W vs Labadze,60.0%,59.3%,4.4%,1/1,2.33,12.5%,73.9%,47.1%,4.3%,2.10,20.0%,62.5%,80.0%,6.3%,2.50,7.1%
2004 Rotterdam SF,L vs Hewitt,64.4%,34.5%,15.6%,3/4,1.74,8.7%,60.0%,20.0%,16.0%,1.50,18.2%,77.8%,50.0%,16.7%,1.96,0.0%
2003 Paris F,W vs Pavel,65.7%,47.7%,4.0%,1/3,2.06,14.1%,62.5%,45.0%,1.6%,1.84,23.1%,78.1%,52.0%,9.4%,2.42,0.0%
2003 Paris SF,W vs Roddick,67.0%,52.5%,3.4%,0/3,1.92,6.3%,58.3%,46.4%,4.2%,1.82,8.1%,79.5%,58.1%,2.6%,2.06,3.7%
2003 Paris QF,W vs Federer,70.4%,50.0%,3.7%,1/1,2.65,22.7%,56.7%,47.1%,3.3%,2.17,13.0%,95.5%,52.4%,4.5%,3.06,33.3%
2002 Wimbledon SF,L vs Hewitt,72.2%,38.5%,13.3%,6/6,1.89,6.5%,63.3%,41.9%,20.4%,1.61,11.8%,87.2%,35.3%,5.1%,2.21,0.0%
2002 Queens Club F,L vs Hewitt,73.8%,41.9%,11.9%,6/4,1.90,5.6%,69.6%,37.5%,19.6%,1.87,9.8%,83.3%,46.7%,2.8%,1.95,0.0%
2002 Monte Carlo SF,L vs Moya,81.8%,48.1%,2.0%,1/1,2.19,8.0%,80.6%,46.0%,1.6%,2.21,9.4%,93.9%,51.6%,3.0%,2.15,4.3%
2002 Indian Wells F,L vs Hewitt,76.1%,40.0%,13.0%,3/3,1.77,2.1%,84.0%,33.3%,20.0%,1.46,4.3%,87.5%,50.0%,6.3%,2.06,0.0%
2002 Indian Wells SF,W vs Martin,72.4%,61.9%,6.9%,1/3,2.21,10.4%,72.5%,65.5%,2.5%,2.05,10.3%,81.3%,53.8%,18.8%,2.45,10.5%
2001 Basel F,W vs Federer,72.5%,53.0%,9.9%,4/5,1.60,21.8%,70.8%,38.2%,16.7%,1.57,13.9%,78.0%,68.8%,2.4%,1.66,36.8%
2001 Cincinnati SF,L vs Kuerten,67.9%,43.4%,12.8%,8/2,1.77,10.7%,59.5%,28.0%,19.0%,1.65,19.4%,82.4%,57.1%,5.9%,1.92,0.0%
Career (42 matches),,62.3%,46.8%,8.3%,38.6%,1.91,14.8%,60.1%,42.3%,8.3%,1.76,15.4%,75.9%,52.6%,9.5%,2.05,14.1%
