Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,28,18,10,64.3%,14,9,5,64.3%,1996,2006,R16,27,1.14,5.6%,3.9%,62.2%,72.6%,51.0%,64.4%,40.5%,65.1%,39.1%
Roland Garros,12,Clay,28,16,12,57.1%,8,6,2,75.0%,1996,2007,SF,28,1.07,5.4%,3.6%,58.8%,70.8%,47.8%,61.3%,41.2%,63.6%,39.6%
Wimbledon,14,Grass,57,43,14,75.4%,44,23,21,52.3%,1994,2007,SF,56,1.17,6.9%,4.7%,60.6%,76.9%,49.7%,66.2%,39.5%,61.4%,37.3%
US Open,13,Hard,34,21,13,61.8%,18,10,8,55.6%,1995,2007,SF,34,1.06,6.8%,4.8%,58.7%,74.0%,51.2%,64.6%,37.7%,58.8%,39.7%
Olympics,3,,4,1,3,25.0%,3,1,2,33.3%,1996,2004,R32,0,,,,,,,,,,
Davis Cup,11,,37,29,8,78.4%,18,11,7,61.1%,1995,2007,,0,,,,,,,,,,
Queen's Club,14,Grass,41,27,14,65.9%,28,12,16,42.9%,1994,2007,F,41,1.14,6.3%,5.0%,60.7%,74.4%,51.6%,65.4%,39.3%,65.6%,41.1%
Cincinnati Masters,12,Hard,28,16,12,57.1%,5,1,4,20.0%,1996,2007,F,28,1.13,7.5%,5.1%,57.5%,74.9%,52.2%,65.2%,39.3%,69.5%,39.7%
Miami Masters,12,Hard,28,16,12,57.1%,9,3,6,33.3%,1996,2007,SF,28,1.08,5.4%,5.4%,55.9%,70.5%,49.0%,61.0%,42.0%,53.3%,44.3%
Rome Masters,11,Clay,23,12,11,52.2%,6,3,3,50.0%,1997,2007,R16,23,1.03,6.1%,3.8%,56.2%,70.5%,51.0%,62.0%,39.1%,61.3%,45.0%
Canada Masters,11,Hard,22,11,11,50.0%,8,4,4,50.0%,1996,2006,SF,21,0.98,5.8%,4.7%,55.1%,73.5%,49.6%,62.8%,36.5%,63.1%,43.0%
Basel,10,Carpet,35,27,8,77.1%,12,4,8,33.3%,1997,2006,W,34,1.25,11.8%,3.5%,59.0%,79.6%,52.3%,68.4%,39.5%,64.7%,45.2%
Indian Wells Masters,10,Hard,30,20,10,66.7%,8,4,4,50.0%,1998,2007,F,30,1.12,5.9%,4.6%,59.1%,71.6%,50.2%,62.9%,41.6%,64.3%,49.3%
