Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2007,292,130,74,1727,68,1688,88,1658,44,1685,245,230,,
2006,39,900,19,1914,15,1858,22,1837,10,1852,511,80,,
2005,36,850,29,1873,25,1827,24,1827,8,1822,1426,5,,
2004,6,2465,10,1948,11,1887,15,1878,4,1874,110,500,,
2003,15,1480,9,1966,13,1872,22,1846,4,1890,202,230,,
2002,8,2215,8,1996,5,1955,15,1894,2,1953,156,315,,
2001,9,2100,8,1997,10,1938,14,1889,4,1936,432,85,,
2000,10,2020,7,2014,6,1975,18,1884,3,1925,158,385,,
1999,12,1920,22,1909,23,1849,42,1809,5,1909,84,776,,
1998,7,2620,8,2042,7,1994,46,1797,4,1938,153,426,,
1997,17,1929,20,1951,19,1895,91,1692,11,1853,137,512,,
1996,29,1243,25,1922,31,1835,95,1705,17,1827,155,420,,
1995,95,,94,1761,83,1707,136,1637,55,1682,133,511,,
1994,167,,189,1589,168,1570,,,136,1532,439,88,,
1993,372,,,,,,,,,,291,162,,
1992,778,,,,,,,,,,827,10,,
