Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W15 Sharm El Sheikh SF,L vs Ferrando,62% (8/13),75% (6/8),2/6,62% (8/13),0% (0/8),2/5,0/0,1/3,0/0,1/2
2019 W15 Sharm El Sheikh QF,W vs Alhussein Abdel Aziz,73% (11/15),100% (11/11),6/8,71% (10/14),10% (1/10),3/9,0/0,0/1,0/0,0/0
2019 W15 Sharm El Sheikh R16,W vs Kajuru,88% (7/8),86% (6/7),1/1,29% (2/7),50% (1/2),3/4,0/0,0/0,0/0,0/0
2019 W15 Sharm El Sheikh R32,W vs Hoedt,44% (4/9),100% (4/4),1/1,22% (2/9),50% (1/2),4/4,2/2,0/0,1/1,0/0
2019 W15 Sharm El Sheikh QF,L vs Zakarlyuk,40% (4/10),100% (4/4),1/4,55% (6/11),0% (0/6),1/4,0/1,2/3,0/0,0/1
2019 W15 Sharm El Sheikh R16,W vs Yudanov,100% (7/7),86% (6/7),1/1,29% (2/7),50% (1/2),5/6,2/2,0/0,1/1,0/0
2019 W15 Sharm El Sheikh R32,W vs Kulikova,50% (5/10),100% (5/5),3/4,64% (7/11),43% (3/7),2/5,1/1,2/2,1/1,0/0
2016 Seoul R32,L vs Sorribes Tormo,63% (5/8),80% (4/5),3/7,100% (8/8),0% (0/8),0/4,0/0,0/1,0/0,0/0
2016 Japan Open Tokyo R32,L vs Nara,38% (3/8),100% (3/3),3/5,100% (8/8),13% (1/8),0/3,0/0,0/2,0/0,0/1
2016 Dalian R16,L vs Wang,20% (2/10),100% (2/2),1/4,50% (5/10),20% (1/5),2/2,0/0,1/1,0/0,1/1
2016 Dalian R32,W vs You,75% (12/16),83% (10/12),4/6,67% (10/15),30% (3/10),5/9,1/2,1/2,0/0,0/0
2016 Washington R64,W vs Albanese,67% (6/9),83% (5/6),2/3,40% (4/10),25% (1/4),3/5,2/3,0/0,1/2,0/0
2016 Gstaad R32,L vs Bertens,47% (7/15),100% (7/7),4/7,60% (9/15),0% (0/9),3/7,1/1,1/3,0/0,0/1
2016 Wimbledon R128,L vs Vesnina,30% (3/10),67% (2/3),1/3,60% (6/10),17% (1/6),2/2,0/1,0/2,0/0,0/1
2016 Birmingham R16,L vs Keys,13% (1/8),0% (0/1),0/3,50% (4/8),0% (0/4),0/0,0/0,0/1,0/0,0/1
2016 Birmingham R32,W vs Moore,53% (8/15),100% (8/8),4/6,47% (7/15),0% (0/7),4/8,2/3,0/1,1/1,0/0
2016 Nottingham QF,L vs Puig,30% (3/10),67% (2/3),0/3,44% (4/9),0% (0/4),2/2,0/0,0/1,0/0,0/0
2016 Nottingham R32,W vs Nara,67% (6/9),83% (5/6),1/2,33% (3/9),33% (1/3),4/5,2/2,0/0,1/1,0/0
2016 Eastbourne $50K QF,L vs Barty,44% (4/9),75% (3/4),2/6,75% (6/8),0% (0/6),1/3,0/0,1/1,0/0,0/0
2016 Eastbourne $50K R32,W vs Sanchez,73% (8/11),63% (5/8),2/3,40% (4/10),25% (1/4),3/4,0/0,1/1,0/0,0/0
2019 (7 matches),,63.9%,91.3%,60.0%,51.4%,18.9%,54.1%,83.3%,55.6%,100.0%,33.3%
2016 (23 matches),,48.0%,80.2%,40.2%,54.0%,20.7%,60.4%,65.2%,43.8%,75.0%,36.4%
2015 (19 matches),,46.3%,81.6%,36.8%,42.9%,17.3%,63.5%,61.1%,57.1%,88.9%,62.5%
2014 (15 matches),,42.2%,83.6%,37.7%,47.6%,25.9%,67.3%,63.2%,63.2%,55.6%,80.0%
2013 (25 matches),,39.6%,72.3%,26.2%,60.6%,19.2%,52.9%,61.5%,54.8%,60.0%,58.3%
Career (129 matches),,44.6%,80.2%,35.4%,52.1%,22.3%,60.9%,66.7%,54.0%,71.1%,57.4%
