Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Miami F,W vs Gauff,26.9%,42.3%,57.9%,40.4%,53.2%,57.1%,66.7%,50.0%,-,6.5%,25.8%,58.6%,60.0%,37.5%,0.0%,-104
2026 Indian Wells F,W vs Rybakina,38.9%,48.1%,39.7%,43.5%,51.6%,40.0%,44.8%,30.3%,33.3%,34.9%,46.5%,39.3%,26.3%,70.8%,100.0%,-25
2026 Indian Wells SF,W vs Noskova,46.6%,62.1%,44.8%,50.0%,65.8%,47.4%,28.6%,33.3%,0.0%,44.4%,61.1%,40.0%,27.3%,57.1%,100.0%,17
2026 Indian Wells QF,W vs Mboko,31.0%,46.4%,59.6%,41.2%,52.9%,50.0%,45.8%,59.3%,33.3%,18.5%,44.4%,72.7%,0.0%,52.9%,50.0%,61
2026 Australian Open F,L vs Rybakina,33.7%,51.2%,49.1%,45.3%,66.0%,55.2%,33.3%,34.5%,50.0%,16.1%,29.0%,42.3%,0.0%,68.4%,100.0%,-31
2026 Australian Open SF,W vs Svitolina,25.9%,50.0%,59.0%,22.2%,52.8%,60.7%,66.7%,46.7%,50.0%,35.3%,47.1%,54.5%,0.0%,76.9%,0.0%,-37
2026 Australian Open QF,W vs Jovic,33.9%,46.4%,55.9%,44.4%,58.3%,70.0%,35.3%,47.4%,33.3%,17.6%,29.4%,35.7%,50.0%,44.4%,100.0%,54
2026 Brisbane F,W vs Kostyuk,34.6%,51.9%,58.8%,40.6%,56.3%,68.4%,73.3%,35.3%,0.0%,25.0%,45.0%,46.7%,37.5%,50.0%,100.0%,-104
2026 Brisbane SF,W vs Muchova,37.5%,53.1%,56.4%,46.3%,68.3%,77.3%,76.2%,60.0%,50.0%,22.7%,27.3%,29.4%,33.3%,69.2%,100.0%,-51
2026 Brisbane R16,W vs Cirstea,25.0%,47.9%,60.0%,28.1%,56.3%,69.6%,69.2%,57.9%,100.0%,20.0%,33.3%,41.7%,22.2%,16.7%,0.0%,-28
2025 Riyadh Finals F,L vs Rybakina,41.1%,50.7%,32.6%,47.8%,56.5%,33.3%,47.8%,39.1%,33.3%,29.6%,40.7%,31.6%,45.5%,43.8%,0.0%,-104
2025 Riyadh Finals SF,W vs Anisimova,34.7%,41.6%,37.7%,46.0%,55.6%,44.1%,58.1%,65.6%,80.0%,18.2%,21.2%,29.6%,15.4%,60.0%,100.0%,55
2025 Riyadh Finals RR,W vs Gauff,30.9%,42.6%,47.8%,32.7%,46.2%,51.4%,76.2%,54.8%,60.0%,26.7%,33.3%,36.4%,55.6%,33.3%,-,-28
2025 Riyadh Finals RR,W vs Pegula,30.5%,43.9%,51.0%,37.0%,54.3%,44.8%,33.3%,52.0%,33.3%,26.7%,36.7%,59.1%,14.3%,62.5%,66.7%,97
2025 Riyadh Finals RR,W vs Paolini,38.9%,48.1%,39.4%,40.9%,47.7%,42.3%,47.6%,60.9%,66.7%,30.0%,50.0%,28.6%,0.0%,50.0%,-,-104
2025 Wuhan SF,L vs Pegula,19.8%,32.7%,35.9%,27.3%,47.0%,47.9%,45.7%,64.5%,50.0%,6.3%,6.3%,16.7%,41.7%,75.0%,66.7%,-53
2025 Wuhan QF,W vs Rybakina,29.8%,40.4%,58.8%,42.4%,51.5%,63.2%,64.3%,52.6%,50.0%,16.7%,33.3%,53.3%,7.7%,60.0%,-,31
2025 Wuhan R32,W vs Sramkova,33.0%,45.7%,47.5%,38.6%,47.4%,42.9%,61.5%,54.8%,66.7%,27.3%,48.5%,54.2%,14.3%,57.9%,100.0%,27
2025 US Open F,W vs Anisimova,30.4%,43.5%,45.7%,28.9%,44.4%,43.8%,52.6%,69.2%,100.0%,36.4%,45.5%,50.0%,33.3%,46.2%,75.0%,-3
2025 US Open SF,W vs Pegula,25.0%,43.8%,57.4%,27.7%,52.3%,61.7%,60.6%,43.8%,100.0%,21.4%,28.6%,50.0%,30.0%,33.3%,100.0%,47
Last 52 Weeks (41 matches),,29.9%,43.3%,47.0%,35.5%,50.2%,50.6%,55.7%,52.1%,57.9%,23.0%,35.5%,41.7%,39.8%,54.3%,62.2%,4
Career (496 matches),,27.4%,41.7%,50.5%,34.0%,50.6%,53.4%,55.7%,52.1%,54.9%,20.7%,33.7%,46.1%,42.0%,55.2%,57.4%,80
