Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Miami F,W vs Gauff,3.3,3.3,3.3,52.5%,55.9%,55.0%,50.0%,41.0%,9.4%,8.5,10.0,13.5,10.9
2026 Indian Wells F,W vs Rybakina,2.9,2.8,2.9,46.9%,57.8%,41.7%,50.0%,48.3%,11.1%,17.0,19.5,-3.0,-3.2
2026 Indian Wells SF,W vs Noskova,2.4,2.2,2.5,55.0%,60.9%,33.3%,100.0%,59.5%,22.2%,11.0,17.7,11.0,31.4
2026 Indian Wells QF,W vs Mboko,2.7,2.8,2.6,54.5%,47.1%,63.6%,-,56.1%,20.0%,3.5,4.4,10.0,17.2
2026 Australian Open F,L vs Rybakina,3.0,2.7,3.2,48.8%,46.7%,75.0%,75.0%,50.5%,15.8%,9.0,10.0,10.0,11.9
2026 Australian Open SF,W vs Svitolina,3.6,2.9,4.3,59.4%,45.2%,81.8%,80.0%,54.7%,9.6%,17.0,21.0,12.0,18.2
2026 Australian Open QF,W vs Jovic,3.5,3.1,3.9,53.0%,74.2%,58.3%,66.7%,56.0%,22.9%,14.0,16.9,8.5,16.0
2026 Brisbane F,W vs Kostyuk,2.9,2.8,2.9,59.5%,56.5%,28.6%,100.0%,46.2%,14.3%,11.0,20.8,5.0,9.4
2026 Brisbane SF,W vs Muchova,3.0,2.9,3.0,54.8%,58.6%,57.1%,33.3%,43.1%,14.1%,9.5,17.6,3.5,5.3
2026 Brisbane R16,W vs Cirstea,3.3,3.0,3.4,50.7%,69.0%,63.6%,100.0%,43.3%,7.9%,21.5,40.6,16.0,22.9
2025 Riyadh Finals F,L vs Rybakina,3.1,3.2,2.9,50.5%,26.5%,36.4%,50.0%,56.4%,16.7%,-2.5,-3.1,-3.0,-5.0
2025 Riyadh Finals SF,W vs Anisimova,2.8,2.6,3.1,51.4%,48.0%,50.0%,66.7%,42.7%,16.3%,9.5,11.0,-2.5,-2.3
2025 Riyadh Finals RR,W vs Gauff,3.5,3.1,4.1,64.9%,41.4%,40.0%,50.0%,42.3%,8.9%,2.5,3.8,0.0,0.0
2025 Riyadh Finals RR,W vs Pegula,3.4,3.1,3.7,50.5%,55.8%,50.0%,33.3%,56.3%,21.2%,13.5,10.6,4.5,5.6
2025 Riyadh Finals RR,W vs Paolini,3.0,2.7,3.2,56.3%,58.8%,42.9%,-,50.7%,7.6%,5.0,7.6,8.0,13.1
2025 Wuhan SF,L vs Pegula,3.6,3.3,3.9,44.5%,58.2%,39.1%,57.1%,52.8%,17.6%,19.5,13.9,8.5,7.7
2025 Wuhan QF,W vs Rybakina,3.1,3.1,3.0,53.4%,56.3%,77.8%,100.0%,51.1%,13.4%,12.5,19.5,12.0,20.7
2025 Wuhan R32,W vs Sramkova,2.5,2.4,2.6,52.3%,55.6%,66.7%,100.0%,49.0%,12.5%,11.0,15.3,16.0,23.5
2025 US Open F,W vs Anisimova,2.9,3.0,2.8,57.4%,53.3%,62.5%,33.3%,53.7%,13.0%,3.5,5.3,9.5,15.8
2025 US Open SF,W vs Pegula,3.6,3.6,3.7,50.0%,60.0%,45.5%,33.3%,45.8%,16.2%,18.0,19.4,9.5,8.7
Last 52 Weeks (41 matches),,3.1,3.0,3.2,51.9%,52.8%,51.6%,50.6%,49.1%,15.6%,8.6,11.0,6.9,8.9
Career (496 matches),,3.2,3.1,3.4,51.7%,55.0%,52.2%,55.4%,50.2%,11.6%,10.2,12.1,6.4,8.0
