Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,R64,Charlie Pasarell / Erik Van Dillen [USA] d. Orantes / Antonio Munoz [ESP],W/O
22-Jun-1970,Wimbledon,Grass,R32,(4) Bob Hewitt / Frew Mcmillan [RSA] d. Orantes / Antonio Munoz [ESP],6-1 6-3 6-4
22-Jun-1970,Wimbledon,Grass,R64,Orantes / Antonio Munoz [ESP] d. Bernard Montrenaud / Patrick Proisy [FRA],W/O
26-May-1970,Roland Garros,Clay,R32,Jean Claude Barclay / Daniel Contet [FRA] d. Orantes / Antonio Munoz [ESP],6-2 6-2 6-4
26-May-1970,Roland Garros,Clay,R64,Orantes / Antonio Munoz [ESP] d. John Barrett / Stanley Matthews [GBR],W/O
27-Aug-1969,US Open,Grass,R32,Tom Edlefsen / Tom Gorman [USA] d. Orantes / Bob Howe [AUS],6-2 1-6 15-13 6-3
27-Aug-1969,US Open,Grass,R64,Orantes / Bob Howe [AUS] d. Jean Pierre Courcol / Patrick Proisy [FRA],6-4 10-8 7-5
23-Jun-1969,Wimbledon,Grass,R16,(1) John Newcombe / Tony Roche [AUS] d. Orantes / Vic Seixas [USA],6-3 6-4 6-2
23-Jun-1969,Wimbledon,Grass,R32,Orantes / Vic Seixas [USA] d. Junjo Kawamuri / Koji Watanabe [JPN],6-4 6-3 7-5
23-Jun-1969,Wimbledon,Grass,R64,Orantes / Vic Seixas [USA] d. John Brown / Ian Fletcher [AUS],6-4 3-6 2-6 10-8 6-1
28-May-1969,Roland Garros,Clay,R16,(2) Ken Rosewall / Fred Stolle [AUS] d. Orantes / Jose Luis Arilla [ESP],6-4 6-1 6-3
28-May-1969,Roland Garros,Clay,R32,Orantes / Jose Luis Arilla [ESP] d. Franco Bartoni / Eugenio Castigliano [ITA],6-2 6-4 6-2
28-May-1969,Roland Garros,Clay,R64,Orantes / Jose Luis Arilla [ESP] d. Onny Parun [NZL] / Barry Phillips Moore [AUS],6-2 10-8 6-1
24-Jun-1968,Wimbledon,Grass,R16,Ken Fletcher [AUS] / Manuel Santana [ESP] d. Orantes / Jose Luis Arilla [ESP],6-2 3-6 6-3 6-2
24-Jun-1968,Wimbledon,Grass,R32,Orantes / Jose Luis Arilla [ESP] d. John Alexander / Dick Crealy [AUS],8-6 11-9 3-6 6-1
24-Jun-1968,Wimbledon,Grass,R64,Orantes / Jose Luis Arilla [ESP] d. Wieslaw Gasiorek / Bronislaw Lewandowski [POL],6-3 6-4 6-3
19-Jan-1968,Australian Chps.,Grass,SF,(5) Terry Addison / Ray Keldie [AUS] d. Orantes / Juan Gisbert [ESP],3-6 6-3 3-6 10-8 8-6
19-Jan-1968,Australian Chps.,Grass,QF,(3) Orantes / Juan Gisbert [ESP] d. Ross Case / Alvin Gardiner [AUS],8-6 5-7 2-6 6-4 6-3
19-Jan-1968,Australian Chps.,Grass,R16,(3) Orantes / Juan Gisbert [ESP] d. Peter Avery / Max Senior [AUS],7-5 6-4 9-7
19-Jan-1968,Australian Chps.,Grass,R32,(3) Orantes / Juan Gisbert [ESP] d. Barry Geraghty / Gary Teagle [AUS],6-4 6-1 6-2
