Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Roland Garros,14,Clay,45,31,14,68.9%,10,8,2,80.0%,1968,1983,F,0,,,,,,,,,,
Wimbledon,7,Grass,18,11,7,61.1%,5,2,3,40.0%,1968,1979,SF,0,,,,,,,,,,
US Open,9,Hard,32,24,8,75.0%,4,2,2,50.0%,1969,1978,W,0,,,,,,,,,,
Olympics,1,,5,4,1,80.0%,0,0,0,-,1968,1968,F,0,,,,,,,,,,
Davis Cup,13,,58,39,19,67.2%,0,0,0,-,1967,1979,,0,,,,,,,,,,
Madrid,14,Carpet,58,43,15,74.1%,12,7,5,58.3%,1967,1984,W,0,,,,,,,,,,
Barcelona,11,Clay,61,49,12,80.3%,6,3,3,50.0%,1969,1983,W,0,,,,,,,,,,
Hamburg,12,Clay,44,34,10,77.3%,6,3,3,50.0%,1971,1983,W,0,,,,,,,,,,
Rome,10,Clay,36,27,9,75.0%,5,1,4,20.0%,1968,1983,W,0,,,,,,,,,,
Monte Carlo,10,Clay,25,15,10,60.0%,1,1,0,100.0%,1968,1983,F,0,,,,,,,,,,
Indianapolis,9,Clay,39,33,6,84.6%,2,1,1,50.0%,1973,1983,W,0,,,,,,,,,,
