Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
1975 US Open F,W vs Connors,88.0%,54.8%,2.4%,1/1,1.95,28.4%,91.5%,55.6%,1.7%,2.00,45.5%,90.5%,52.6%,4.8%,1.92,20.0%
1974 Roland Garros F,W vs Borg,57.8%,49.2%,3.7%,1/3,2.17,10.3%,85.0%,52.9%,10.0%,2.05,16.3%,93.5%,44.8%,0.0%,2.33,2.9%
1972 Roland Garros QF,W vs Solomon,62.4%,55.6%,2.0%,2/0,2.46,2.0%,100.0%,50.0%,2.2%,2.32,4.0%,100.0%,70.6%,5.9%,2.60,0.0%
Career (3 matches),,67.9%,53.3%,2.7%,50.0%,2.17,14.4%,92.4%,53.0%,4.1%,2.11,20.0%,94.2%,53.8%,2.9%,2.22,9.5%
