Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2018 Fed Cup RR,L vs Barty,1.03,0.78,61.9,4.4,0.0%,58.3%,0.0%,50.0%,37.8%,31.0%
2016 Guangzhou R32,L vs Zhu,0.97,0.77,58.9,2.9,0.0%,39.5%,2.9%,60.0%,37.8%,42.9%
2016 Florianopolis QF,L vs Bogdan,0.85,0.67,46.8,2.5,10.7%,75.0%,3.8%,34.6%,37.5%,32.3%
2016 Florianopolis R16,W vs Martincova,1.12,1.18,73.2,9.0,0.0%,56.5%,0.0%,52.4%,52.0%,43.5%
2016 Florianopolis R32,W vs Pereira,1.29,1.79,35.3,2.0,3.1%,75.0%,3.6%,60.7%,48.0%,40.0%
2016 Minsk $25K R32,L vs Eric,0.95,0.67,48.5,2.0,3.2%,45.2%,0.0%,55.6%,36.4%,33.3%
2016 Kaohsiung R32,L vs Diyas,1.02,0.79,56.7,5.2,0.0%,57.1%,7.7%,46.2%,32.6%,41.9%
2016 Maui HI $50K R32,L vs Broady,0.89,0.64,59.4,2.8,2.7%,54.1%,2.9%,70.6%,27.3%,27.6%
2015 Dubai $75K R32,L vs Buyukakcay,0.99,0.52,40.2,2.1,3.7%,59.3%,3.8%,34.6%,24.0%,31.8%
2015 Istanbul $25K R16,L vs Ozgen,1.00,0.81,61.5,4.2,2.2%,60.9%,2.2%,42.2%,42.1%,36.1%
2015 Tianjin R16,L vs Duan,1.06,0.86,72.2,6.7,7.3%,56.4%,5.7%,50.9%,35.6%,39.3%
2015 Tianjin R32,W vs Pennetta,1.02,1.35,50.8,2.0,5.7%,65.7%,0.0%,60.6%,42.2%,54.5%
2015 Winnipeg $25K QF,L vs Ahn,0.89,0.67,50.3,2.5,0.0%,55.2%,3.8%,50.0%,29.0%,42.9%
2015 Winnipeg $25K R16,W vs Gilchrist,1.11,1.52,47.4,2.0,0.0%,62.5%,3.6%,64.3%,44.4%,55.9%
2015 Winnipeg $25K R32,W vs Liang,1.03,1.34,57.0,4.0,0.0%,62.9%,0.0%,62.5%,47.4%,50.0%
2015 Surbiton $50K R32,L vs Dart,0.95,0.62,40.8,2.4,3.2%,45.2%,0.0%,46.4%,28.6%,42.3%
2014 Birmingham R64,L vs Riske Amritraj,0.96,0.56,53.2,2.7,8.3%,72.2%,6.3%,59.4%,16.1%,23.3%
2014 Saint Gaudens 50K R32,L vs Konta,0.95,0.70,51.4,2.1,0.0%,68.6%,0.0%,42.4%,31.3%,34.5%
2014 Istanbul 50K R32,W vs Sezer,1.03,1.30,56.7,3.0,0.0%,57.6%,0.0%,61.3%,50.0%,52.9%
2014 Kuala Lumpur R16,L vs Linette,0.88,0.55,35.9,2.2,7.1%,53.6%,3.7%,40.7%,28.6%,37.5%
2018 (1 matches),,1.03,0.78,61.9,4.4,0.0%,58.3%,0.0%,50.0%,37.8%,31.0%
2016 (7 matches),,1.02,0.89,55.9,2.9,2.4%,56.7%,3.0%,54.5%,39.1%,38.1%
2015 (8 matches),,1.01,0.93,54.9,2.7,3.1%,58.6%,2.6%,51.3%,37.7%,44.6%
2014 (9 matches),,1.00,0.93,46.2,2.4,5.3%,61.2%,3.8%,51.0%,39.7%,41.7%
2013 (13 matches),,1.01,1.15,54.6,2.6,2.0%,60.0%,3.2%,56.2%,47.9%,46.9%
Career (43 matches),,1.02,1.03,53.2,2.7,2.7%,59.8%,2.7%,55.0%,42.5%,43.9%
