Date,Tournament,Surface,Rd,,Score
24-Mar-1970,Curacao,,F,Mary Ann Eisel / Patti Hogan [USA] d. Teeguarden / Peaches Bartkowicz [USA],1-6 7-5 6-3
16-Mar-1970,Barranquilla,Grass,F,Mary Ann Eisel / Patti Hogan [USA] d. Teeguarden / Kathleen Harter [USA],6-3 7-5
25-Apr-1968,Ojai,Hard,F,Teeguarden / Peggy Michel [USA] d. Betty Ann Grubb / Pixie Lamm [USA],8-6 7-5
14-Oct-1967,San Diego,,F,Mimi Wheeler / Louise Snow [USA] d. Teeguarden / Valerie Ziegenfuss [USA],8-6 8-6
