Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
9,Veronica Cepede Royg [PAR],7,2,77.8%,1,1,0,100.0%,2007,2015,0,,,,,,,,,,
6,Paula Cristina Goncalves [BRA],5,1,83.3%,0,0,0,-,2008,2019,0,,,,,,,,,,
6,Ana Clara Duarte [BRA],3,3,50.0%,1,0,1,0.0%,2003,2012,0,,,,,,,,,,
6,Vivian Segnini [BRA],5,1,83.3%,3,2,1,66.7%,2006,2011,0,,,,,,,,,,
5,Laura Siegemund [GER],1,4,20.0%,2,0,2,0.0%,2007,2020,3,0.83,0.6%,4.5%,67.2%,58.0%,41.4%,52.5%,39.6%,42.9%,30.4%
5,Catalina Pella [ARG],4,1,80.0%,1,0,1,0.0%,2010,2017,3,1.14,0.8%,5.0%,66.9%,69.4%,40.5%,59.8%,45.7%,42.1%,41.7%
5,Annika Beck [GER],3,2,60.0%,1,1,0,100.0%,2015,2016,5,1.05,0.6%,0.9%,80.6%,53.5%,45.2%,51.9%,50.6%,46.3%,47.9%
5,Florencia Molinero [ARG],5,0,100.0%,1,1,0,100.0%,2006,2013,0,,,,,,,,,,
5,Maria Fernanda Alvarez Teran [BOL],3,2,60.0%,2,0,2,0.0%,2006,2011,0,,,,,,,,,,
5,Vanesa Furlanetto [ARG],2,3,40.0%,0,0,0,-,2006,2010,0,,,,,,,,,,
5,Joana Cortez [BRA],0,5,0.0%,0,0,0,-,2004,2005,0,,,,,,,,,,
4,Chloe Paquet [FRA],3,1,75.0%,0,0,0,-,2015,2019,0,,,,,,,,,,
4,Andrea Gamiz [VEN],4,0,100.0%,3,2,1,66.7%,2012,2017,0,,,,,,,,,,
4,Daniela Seguel [CHI],3,1,75.0%,1,0,1,0.0%,2010,2017,1,0.92,0.0%,7.8%,68.8%,54.7%,37.5%,49.4%,46.6%,33.3%,23.5%
4,Mariana Duque Marino [COL],3,1,75.0%,1,1,0,100.0%,2007,2017,1,0.77,1.8%,12.3%,50.9%,55.2%,21.4%,38.6%,47.1%,30.0%,23.1%
