Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2017 ITF Curitiba R32,L vs Potapova,11.3%,12.7%,49.2%,8.3%,8.3%,56.8%,19.0%,59.3%,57.1%,19.0%,23.8%,29.4%,9.1%,70.0%,50.0%,1
2016 Roland Garros R64,L vs Williams,19.4%,22.6%,30.0%,22.2%,26.7%,31.4%,13.0%,50.0%,75.0%,11.8%,11.8%,26.7%,14.3%,20.0%,50.0%,-104
2016 Charleston R64,L vs Mattek Sands,9.1%,12.1%,44.3%,9.6%,12.3%,45.5%,18.9%,63.9%,50.0%,8.3%,12.5%,40.9%,27.3%,46.2%,50.0%,-30
2016 Hobart R32,L vs Watson,19.5%,22.0%,28.1%,25.0%,28.6%,33.3%,53.8%,26.7%,50.0%,8.3%,8.3%,18.2%,33.3%,50.0%,0.0%,-30
2016 Brisbane R32,L vs Petkovic,11.6%,23.3%,33.3%,17.2%,31.0%,37.5%,53.3%,35.7%,66.7%,0.0%,8.3%,25.0%,20.0%,42.9%,0.0%,-119
2015 Beijing R32,L vs Pennetta,11.3%,15.0%,39.7%,14.0%,16.3%,40.5%,64.0%,22.2%,25.0%,8.8%,14.7%,38.7%,20.0%,47.4%,25.0%,-25
2015 Florianopolis F,W vs Beck,10.8%,11.7%,52.5%,11.1%,12.2%,55.0%,23.9%,50.0%,42.9%,9.5%,9.5%,42.1%,14.3%,42.9%,33.3%,-104
2015 Florianopolis SF,W vs Sevastova,22.0%,28.8%,48.9%,26.7%,31.1%,48.5%,28.6%,58.3%,66.7%,7.7%,23.1%,50.0%,0.0%,42.9%,-,-36
2015 Bucharest R16,L vs Niculescu,8.6%,10.3%,51.9%,10.9%,10.9%,48.8%,78.9%,33.3%,16.7%,0.0%,9.1%,63.6%,57.1%,75.0%,-,-119
2015 Bogota F,W vs Shvedova,27.6%,32.8%,50.0%,32.6%,39.5%,48.3%,31.6%,41.7%,75.0%,15.4%,15.4%,54.5%,14.3%,33.3%,0.0%,35
2014 Wimbledon R128,L vs Halep,27.9%,35.3%,31.3%,35.4%,41.7%,22.6%,38.5%,18.2%,28.6%,10.5%,21.1%,47.1%,0.0%,0.0%,0.0%,-43
Career (11 matches),,15.5%,19.3%,43.3%,18.0%,21.6%,44.9%,35.1%,44.7%,49.2%,9.6%,14.7%,39.3%,19.1%,40.7%,24.0%,-18
