Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2021 US Open R128,L vs Ramos,109.5,119.9,9.8,123.0,113.0,135,97,98.6,6.2,101.6,95.3,130,84
2021 Wimbledon R128,L vs Norrie,108.0,116.5,8.4,119.8,110.6,129,97,98.7,5.2,101.7,100.0,112,84
2019 Wimbledon R32,L vs Federer,111.6,122.1,6.4,124.3,117.3,132,93,101.4,7.2,100.3,96.5,114,89
2019 Wimbledon R128,W vs Gasquet,114.2,120.5,7.8,124.0,115.4,132,97,98.9,8.2,108.3,94.5,113,87
2019 Roland Garros R64,L vs Klizan,107.5,116.2,8.4,,,129,98,93.7,4.4,,,105,83
2019 Roland Garros R128,W vs Bolelli,108.0,115.7,11.2,,,130,86,95.2,5.8,,,108,85
2018 US Open R32,L vs Sousa,108.4,118.3,9.2,120.4,114.3,137,90,95.9,7.7,98.3,93.0,114,82
2018 US Open R64,W vs Baghdatis,106.7,116.4,9.4,119.7,113.3,132,91,94.9,7.3,96.7,97.0,111,81
2018 Wimbledon R64,L vs Novak,112.9,118.7,9.8,124.1,111.3,134,91,100.1,7.4,105.4,94.7,112,87
2018 Wimbledon R128,W vs Kudla,112.2,118.2,9.4,122.5,116.0,133,96,99.6,6.8,102.0,96.0,112,83
2017 US Open R16,L vs Schwartzman,105.7,111.6,11.8,116.5,104.2,132,80,92.6,8.7,95.3,103.0,108,73
2017 US Open R32,W vs Kukushkin,103.8,114.2,11.1,117.8,109.7,131,91,90.5,7.9,94.4,100.0,109,77
2017 US Open R64,W vs Donaldson,109.3,119.0,12.2,123.3,111.3,136,88,95.7,8.5,102.3,94.3,113,77
2017 US Open R128,W vs Bemelmans,109.1,115.8,12.1,121.5,110.1,135,95,99.0,6.8,100.3,93.8,110,85
2017 Wimbledon R64,L vs Janowicz,111.6,121.0,8.2,123.1,117.0,134,97,97.3,7.5,103.1,97.5,112,83
2017 Roland Garros R32,L vs Ramos,109.1,115.5,13.2,120.8,111.6,133,86,98.2,5.7,99.6,98.9,114,86
2017 Roland Garros R64,W vs Bellucci,109.2,113.5,11.2,112.9,115.9,129,90,99.8,6.6,100.3,96.4,113,83
2017 Roland Garros R128,W vs Benneteau,107.8,119.1,11.1,124.6,110.7,132,89,98.9,6.7,100.2,98.5,112,83
2016 US Open QF,L vs Monfils,107.9,119.6,9.5,121.6,113.8,131,100,89.8,4.5,92.3,87.0,100,82
2016 US Open R16,W vs Nadal,104.2,116.3,12.1,122.3,107.9,134,90,93.3,5.5,96.8,92.6,109,81
Career (34 matches),,108.1,117.0,10.0,121.2,112.6,137,80,96.2,6.5,99.3,95.7,130,73
