Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Miami R128,L vs Kecmanovic,32.9%,45.7%,45.7%,40.3%,41.2%,56.9%,46.7%,51.4%,71.4%,46.7%,33.3%,11.1%,16.7%,43.8%,-2
2020 Roland Garros R128,W vs Opelka,38.5%,52.6%,63.6%,46.0%,44.9%,59.2%,63.0%,56.9%,54.2%,40.0%,0.0%,32.0%,48.0%,64.7%,130
2019 Laver Cup RR,W vs Fognini,29.2%,51.4%,58.0%,41.0%,30.2%,55.8%,66.7%,50.0%,52.6%,50.0%,66.7%,28.6%,46.4%,45.0%,-27
2018 Paris QF,L vs Thiem,32.3%,50.0%,53.3%,40.0%,37.3%,54.2%,59.5%,49.8%,53.3%,44.8%,50.0%,28.1%,50.0%,43.5%,126
2017 Tour Finals SF,L vs Dimitrov,22.4%,32.9%,46.3%,28.6%,29.8%,44.7%,45.5%,39.8%,33.3%,50.0%,50.0%,12.5%,16.7%,47.6%,-4
2017 Tour Finals RR,W vs Zverev,31.7%,43.9%,42.3%,38.8%,41.1%,55.4%,51.5%,51.4%,64.0%,38.7%,37.5%,13.6%,22.7%,26.3%,9
2017 Tour Finals RR,W vs Cilic,29.8%,42.3%,53.5%,36.4%,41.0%,55.7%,58.3%,52.3%,59.3%,44.1%,50.0%,14.6%,24.4%,48.6%,-9
2017 Tour Finals RR,L vs Federer,27.9%,46.5%,57.1%,37.8%,33.3%,54.9%,52.9%,50.0%,45.8%,51.9%,0.0%,24.1%,41.4%,63.6%,102
2017 Paris F,W vs Krajinovic,33.3%,48.6%,60.0%,39.2%,47.5%,62.5%,57.1%,58.0%,44.4%,59.1%,100.0%,17.2%,34.5%,62.5%,54
2017 Paris SF,W vs Benneteau,28.8%,42.3%,63.9%,38.5%,35.3%,47.1%,63.6%,50.0%,63.2%,40.0%,0.0%,17.6%,35.3%,64.3%,5
2017 Miami QF,L vs Nadal,14.6%,39.6%,48.7%,24.0%,18.5%,51.9%,54.5%,35.2%,50.0%,40.0%,0.0%,10.5%,26.3%,41.2%,-13
2017 Indian Wells SF,L vs Federer,37.3%,49.2%,40.0%,45.6%,51.4%,65.7%,58.8%,65.4%,25.0%,26.3%,0.0%,18.2%,27.3%,22.2%,47
2017 Indian Wells QF,W vs Nishikori,30.8%,44.9%,55.1%,34.6%,37.8%,51.1%,39.3%,44.4%,50.0%,44.0%,0.0%,25.0%,42.9%,76.2%,115
2017 Indian Wells R32,W vs Dimitrov,23.1%,43.3%,62.7%,32.2%,29.8%,52.6%,57.5%,46.5%,32.0%,46.9%,75.0%,16.7%,35.7%,68.6%,46
2017 Auckland F,W vs Sousa,42.3%,52.6%,50.0%,47.7%,53.8%,65.4%,58.3%,61.9%,38.5%,38.5%,0.0%,21.7%,30.4%,38.9%,93
2016 Stockholm R32,W vs Jaziri,25.0%,42.7%,58.8%,36.8%,31.6%,54.4%,71.8%,51.4%,21.7%,58.8%,66.7%,17.1%,28.6%,41.4%,51
2016 Stockholm F,L vs Del Potro,20.0%,30.9%,47.6%,28.7%,23.7%,39.5%,51.7%,36.3%,25.0%,36.4%,75.0%,13.3%,13.3%,38.5%,11
2016 Houston F,L vs Monaco,20.6%,38.2%,48.1%,27.2%,26.0%,48.0%,56.8%,39.4%,52.2%,37.0%,25.0%,16.7%,31.3%,40.0%,37
2016 Houston SF,W vs Isner,35.7%,45.7%,60.5%,41.7%,42.9%,60.0%,60.0%,54.9%,33.3%,39.1%,-,30.3%,33.3%,60.9%,-35
2015 Paris R64,L vs Troicki,12.2%,28.6%,42.9%,18.8%,20.8%,37.5%,52.6%,34.2%,70.0%,35.7%,50.0%,4.2%,20.8%,34.8%,-74
Career (31 matches),,28.7%,42.0%,51.0%,35.7%,36.8%,52.3%,53.7%,48.6%,42.6%,43.9%,46.4%,18.2%,29.6%,47.6%,61
