Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,2,0,2,0.0%,1-4,20.0%,26-29,47.3%,0-2,0.0%,2,76.9%,22.2%,10.8%,6.3%,60.1%,69.5%,49.2%,61.4%,38.4%,48.6%,0.99,R32 (2x)
2022,30,21,9,70.0%,43-23,65.2%,350-295,54.3%,7-6,53.8%,29,84.0%,23.5%,8.2%,3.5%,63.2%,74.9%,53.4%,67.0%,36.8%,51.6%,1.12,W (Savannah)
2021,24,15,9,62.5%,33-23,58.9%,297-269,52.5%,5-5,50.0%,24,86.0%,19.1%,8.8%,5.3%,57.2%,74.5%,54.6%,66.0%,33.6%,50.2%,0.99,W (Little Rock)
2020,8,6,2,75.0%,13-8,61.9%,119-107,52.7%,5-2,71.4%,8,84.7%,18.5%,8.0%,5.0%,58.7%,73.9%,52.5%,65.0%,35.9%,50.9%,1.03,F (Indian Wells)
2019,3,0,3,0.0%,1-4,20.0%,24-29,45.3%,0-2,0.0%,3,79.2%,17.9%,6.1%,5.0%,62.4%,71.7%,39.7%,59.7%,33.3%,46.8%,0.83,R32 (2x)
2014,7,4,3,57.1%,10-7,58.8%,91-80,53.2%,0-2,0.0%,7,78.7%,26.5%,5.5%,4.5%,59.1%,75.6%,49.1%,64.8%,38.1%,51.8%,1.08,F (Savannah)
2013,20,11,9,55.0%,26-19,57.8%,235-214,52.3%,6-5,54.5%,20,83.2%,21.6%,7.6%,6.0%,55.6%,75.2%,51.6%,64.7%,36.9%,50.8%,1.05,W (Winnetka)
2012,21,14,7,66.7%,28-17,62.2%,235-206,53.3%,6-4,60.0%,20,81.7%,24.0%,9.0%,5.3%,54.9%,72.7%,51.1%,63.0%,38.2%,50.6%,1.03,W (Tiburon)
2011,14,6,8,42.9%,15-17,46.9%,143-156,47.8%,3-2,60.0%,14,73.5%,21.8%,8.2%,6.7%,53.0%,71.0%,48.1%,60.2%,36.0%,48.4%,0.90,QF (2x)
Career,129,77,52,59.7%,170-122,58.2%,1520-1385,52.3%,32-30,51.6%,127,82.3%,21.9%,8.2%,5.1%,57.8%,74.0%,51.7%,64.6%,36.3%,50.5%,1.03,
