Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Steve Johnson [USA],6,6,50.0%,7,4,3,57.1%,2011,2022,12,1.05,8.2%,4.9%,57.1%,74.8%,58.3%,67.7%,34.0%,61.7%,40.0%
11,Milos Raonic [CAN],3,8,27.3%,10,1,9,10.0%,2013,2017,11,0.78,7.8%,4.9%,59.5%,78.0%,52.5%,67.7%,25.3%,72.7%,31.3%
9,Denis Kudla [USA],5,4,55.6%,4,2,2,50.0%,2010,2022,7,0.93,10.7%,5.6%,57.8%,71.8%,49.1%,62.2%,35.1%,62.5%,35.8%
9,John Isner [USA],3,6,33.3%,8,4,4,50.0%,2012,2021,9,0.92,9.1%,4.4%,59.0%,75.3%,57.5%,68.0%,29.6%,73.8%,28.0%
6,Taylor Fritz [USA],2,4,33.3%,3,1,2,33.3%,2016,2023,6,0.83,8.2%,6.7%,56.7%,72.6%,46.9%,61.5%,32.1%,66.2%,30.8%
6,Jiri Vesely [CZE],4,2,66.7%,5,4,1,80.0%,2013,2022,6,0.99,6.6%,5.0%,58.4%,72.3%,51.3%,63.6%,36.1%,64.6%,36.2%
6,Rafael Nadal [ESP],0,6,0.0%,1,0,1,0.0%,2015,2021,5,0.78,4.1%,4.1%,52.7%,64.7%,48.4%,57.0%,33.4%,48.8%,31.3%
6,Adrian Mannarino [FRA],4,2,66.7%,3,2,1,66.7%,2014,2020,6,0.97,10.7%,6.9%,59.1%,71.6%,45.9%,61.1%,37.7%,57.4%,41.9%
5,Yoshihito Nishioka [JPN],4,1,80.0%,2,0,2,0.0%,2017,2021,5,1.15,10.7%,3.4%,59.3%,72.7%,52.6%,64.5%,40.7%,61.9%,42.9%
5,Kevin Anderson [RSA],2,3,40.0%,3,2,1,66.7%,2015,2021,5,0.87,6.4%,6.1%,56.9%,76.6%,49.4%,64.9%,30.5%,63.0%,23.8%
5,Dominic Thiem [AUT],1,4,20.0%,2,1,1,50.0%,2015,2020,5,0.89,5.3%,5.3%,62.7%,70.7%,44.2%,60.8%,35.0%,55.0%,41.7%
5,Grigor Dimitrov [BUL],3,2,60.0%,3,3,0,100.0%,2014,2017,5,0.95,5.4%,5.4%,60.0%,70.8%,57.3%,65.4%,32.9%,69.4%,22.2%
5,Ivo Karlovic [CRO],1,4,20.0%,6,1,5,16.7%,2013,2016,5,0.98,7.3%,5.6%,60.0%,78.5%,61.6%,71.7%,27.6%,74.1%,30.0%
5,Roberto Bautista Agut [ESP],2,3,40.0%,0,0,0,-,2013,2016,5,0.79,7.4%,10.1%,55.9%,71.1%,40.5%,57.6%,33.6%,51.6%,30.0%
4,David Goffin [BEL],1,3,25.0%,2,1,1,50.0%,2013,2022,4,0.83,8.9%,6.7%,55.0%,69.7%,44.9%,58.5%,34.5%,52.0%,44.4%
