Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2023,671,45,,,,,,,,,,,,
2022,131,428,67,1751,74,1694,58,1715,38,1699,,,,
2021,145,461,84,1716,75,1677,64,1704,75,1614,,,,
2020,253,217,83,1712,75,1673,48,1721,,,133,630,,
2019,,,,,,,,,,,119,720,32,1782
2018,106,540,80,1725,64,1704,60,1697,88,1599,2,7925,12,1873
2017,8,3165,17,1950,16,1911,21,1860,28,1758,39,1800,8,1911
2016,23,1710,17,1974,15,1924,18,1883,26,1784,16,4080,1,1989
2015,26,1465,14,1978,14,1916,16,1897,21,1782,19,4030,6,1906
2014,42,934,28,1876,26,1820,51,1744,39,1710,15,3825,17,1820
2013,102,545,135,1634,115,1601,136,1578,149,1490,101,778,49,1689
2012,150,375,131,1637,118,1603,,,126,1528,168,388,,
2011,381,105,309,1391,297,1350,,,,,370,150,,
2010,878,11,,,,,,,,,687,53,,
2009,699,24,,,,,,,,,,,,
