Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,9,3,6,33.3%,7,0,7,0.0%,2021,2025,R64,9,1.03,10.3%,2.6%,63.0%,72.6%,50.8%,64.5%,36.6%,57.3%,35.4%
Roland Garros,5,Clay,10,5,5,50.0%,6,3,3,50.0%,2020,2025,R64,10,1.04,6.7%,3.0%,66.5%,69.2%,52.0%,63.4%,38.1%,63.6%,36.3%
Wimbledon,4,Grass,11,7,4,63.6%,7,4,3,57.1%,2021,2025,QF,11,1.12,7.7%,4.1%,63.4%,74.1%,54.5%,67.0%,37.1%,61.9%,42.7%
US Open,4,Hard,7,3,4,42.9%,3,1,2,33.3%,2022,2025,R64,7,1.02,6.7%,4.5%,63.2%,71.7%,48.6%,63.2%,37.6%,55.4%,43.3%
Olympics,1,,3,2,1,66.7%,1,1,0,100.0%,2024,2024,R16,3,1.17,7.5%,3.2%,65.6%,65.6%,59.4%,63.4%,42.6%,64.7%,42.1%
Winston-Salem,3,Hard,4,1,3,25.0%,2,0,2,0.0%,2023,2025,R16,4,1.06,6.6%,7.5%,61.8%,73.1%,52.5%,65.2%,36.9%,74.1%,30.8%
Cincinnati Masters,2,Hard,3,1,2,33.3%,1,0,1,0.0%,2023,2025,R64,3,1.03,8.9%,6.4%,53.5%,69.4%,59.6%,64.9%,36.4%,38.5%,53.3%
Canada Masters,2,Hard,3,1,2,33.3%,1,1,0,100.0%,2024,2025,R64,3,0.97,7.5%,7.0%,59.7%,70.0%,54.3%,63.7%,35.3%,37.5%,45.5%
Mallorca,2,Grass,6,4,2,66.7%,4,2,2,50.0%,2023,2025,R16,6,1.24,9.8%,3.0%,63.5%,78.1%,59.1%,71.2%,35.9%,71.4%,30.8%
Halle,3,Grass,5,2,3,40.0%,4,2,2,50.0%,2023,2025,R32,5,1.07,14.5%,3.7%,68.3%,77.2%,49.2%,68.3%,33.9%,68.0%,26.7%
Stuttgart,4,Grass,5,1,4,20.0%,5,1,4,20.0%,2022,2025,R32,5,1.10,9.3%,2.8%,66.5%,76.2%,56.1%,69.5%,33.5%,60.9%,22.2%
