Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W25 Shenzhen R32,W vs Naydenova,38% (5/13),100% (5/5),0/3,38% (5/13),20% (1/5),3/5,1/3,1/1,0/1,0/0
2019 W60 Luan R16,L vs Ma,36% (4/11),75% (3/4),1/3,55% (6/11),33% (2/6),2/3,0/2,1/2,0/0,1/1
2019 W60 Luan R32,W vs Lu,64% (9/14),89% (8/9),3/5,50% (7/14),29% (2/7),6/7,1/1,0/0,1/1,0/0
2019 W25 Hong Kong R32,L vs Tanaka,33% (3/9),67% (2/3),0/5,75% (6/8),17% (1/6),0/2,0/0,0/0,0/0,0/0
2019 W60 Shenzhen R32,L vs Sekulic,20% (2/10),100% (2/2),1/4,64% (7/11),29% (2/7),1/1,0/0,0/1,0/0,0/1
2019 W15 Nanchang R32,L vs Liu,33% (3/9),33% (1/3),1/4,50% (4/8),0% (0/4),0/1,0/0,1/1,0/0,0/0
2019 W15 Nanchang R32,L vs Garland,40% (4/10),50% (2/4),1/3,56% (5/9),20% (1/5),1/2,0/0,1/2,0/0,1/1
2019 W15 Antalya R32,L vs Damaschin,33% (3/9),33% (1/3),0/4,63% (5/8),20% (1/5),0/1,0/0,1/1,0/0,0/0
2017 Indore $15K R32,W vs Natarajan,57% (4/7),100% (4/4),0/0,38% (3/8),100% (3/3),4/4,2/2,0/0,1/1,0/0
2017 Colombo $15K R32,W vs Okuda,67% (6/9),83% (5/6),1/2,22% (2/9),0% (0/2),3/5,2/2,0/0,1/1,0/0
2017 Hong Kong $15K R16,L vs Vaidya,36% (5/14),60% (3/5),1/5,54% (7/13),14% (1/7),3/3,1/1,2/3,0/0,2/2
2019 (8 matches),,38.8%,72.7%,22.6%,54.9%,22.2%,59.1%,33.3%,62.5%,50.0%,66.7%
2017 (3 matches),,50.0%,80.0%,28.6%,40.0%,33.3%,83.3%,100.0%,66.7%,100.0%,100.0%
Career (11 matches),,41.7%,75.0%,23.7%,50.9%,24.6%,67.6%,63.6%,63.6%,75.0%,80.0%
