Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Austin 125 F,L vs Tararudee,5.7%,80.0%,21.7%,59.1%,9.8%,21.7%,28.6%,10.4%,24.0%,2.8%,30.0%,-14,-10
2026 Austin 125 SF,W vs Badosa,1.1%,0.0%,7.9%,50.0%,6.6%,15.4%,0.0%,13.0%,31.3%,3.3%,71.4%,-48,-28
2026 Austin 125 QF,W vs Jones,3.8%,100.0%,16.2%,82.1%,11.8%,22.2%,33.3%,5.1%,14.3%,4.0%,35.7%,-74,-49
2026 Austin 125 R16,W vs Zarazua,7.6%,66.7%,28.7%,65.9%,9.6%,22.6%,0.0%,3.8%,7.1%,3.3%,33.3%,48,52
2026 Indian Wells R128,L vs Rakhimova,7.7%,33.3%,14.0%,50.0%,8.3%,16.7%,20.0%,7.7%,36.4%,1.8%,40.0%,-31,1
2026 Austin R32,L vs Galfi,5.0%,100.0%,18.4%,74.3%,9.4%,13.2%,0.0%,9.0%,22.2%,4.9%,50.0%,20,49
2025 Tokyo R32,L vs Mboko,0.0%,-,19.4%,75.0%,7.8%,7.1%,0.0%,4.2%,20.0%,2.1%,0.0%,-22,-23
2025 Osaka R32,L vs Golubic,1.1%,100.0%,21.2%,57.1%,10.4%,13.3%,16.7%,15.3%,25.0%,2.3%,55.6%,74,86
2025 Beijing R128,L vs Bondar,1.4%,100.0%,15.5%,78.3%,14.5%,31.3%,0.0%,12.0%,16.7%,2.5%,0.0%,20,-3
2025 Montreal R128,W vs Krejcikova,0.0%,-,8.1%,70.0%,18.3%,12.5%,0.0%,12.9%,40.0%,0.7%,0.0%,68,52
2025 Berlin R32,L vs Anisimova,0.0%,-,3.0%,66.7%,12.9%,25.0%,0.0%,7.4%,18.2%,4.1%,40.0%,-13,28
2025 s Hertogenbosch QF,L vs Ruse,0.0%,-,5.7%,66.7%,8.3%,7.1%,0.0%,8.3%,10.0%,1.4%,0.0%,-66,0
2025 s Hertogenbosch R16,W vs Sun,0.0%,-,5.1%,40.0%,19.4%,30.0%,75.0%,21.9%,37.5%,0.8%,100.0%,64,128
2025 s Hertogenbosch R32,W vs Garland,0.0%,-,12.8%,57.1%,20.0%,17.6%,0.0%,5.3%,11.1%,4.0%,40.0%,21,76
2025 Roland Garros Q2,L vs Hibino,0.0%,-,12.7%,60.0%,16.6%,19.6%,38.5%,9.3%,27.3%,3.9%,62.5%,3,-2
2025 Roland Garros Q1,W vs Yao,0.0%,-,21.1%,86.7%,20.0%,37.5%,14.3%,10.8%,14.3%,5.6%,70.0%,56,46
2025 Rome R16,L vs Zheng,0.0%,-,2.6%,33.3%,3.5%,0.0%,0.0%,3.7%,20.0%,1.8%,50.0%,-71,-77
2025 Rome R32,W vs Rybakina,0.0%,-,8.3%,80.0%,14.5%,16.7%,0.0%,14.7%,25.0%,1.6%,33.3%,-38,-16
2025 Rome R64,W vs Vekic,0.0%,-,7.9%,69.2%,11.7%,16.0%,20.0%,9.1%,33.3%,1.4%,33.3%,-37,14
2025 Rome R128,W vs Urgesi,0.0%,-,15.5%,80.0%,21.1%,47.6%,0.0%,11.4%,40.0%,2.8%,80.0%,85,74
Last 52 Weeks (23 matches),,1.7%,70.4%,13.1%,68.3%,12.1%,19.3%,20.0%,9.7%,23.0%,2.7%,41.8%,1,14
Career (193 matches),,0.4%,69.1%,9.5%,71.2%,13.7%,20.6%,15.8%,10.9%,24.7%,2.1%,45.5%,31,36
