Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,8,4,4,50.0%,3,1,2,33.3%,2018,2023,R64,8,1.06,3.4%,3.6%,61.4%,65.8%,51.3%,60.2%,42.0%,54.7%,40.3%
Roland Garros,8,Clay,17,9,8,52.9%,4,1,3,25.0%,2019,2025,R32,12,1.03,2.1%,3.7%,66.2%,60.1%,48.3%,56.1%,45.3%,55.8%,44.0%
Wimbledon,7,Grass,18,11,7,61.1%,6,2,4,33.3%,2017,2025,R32,12,1.02,3.1%,4.6%,63.8%,68.4%,48.4%,61.2%,39.6%,57.7%,39.5%
US Open,6,Hard,17,12,5,70.6%,5,3,2,60.0%,2017,2024,W,16,1.13,4.9%,4.2%,67.1%,66.4%,47.5%,60.2%,45.2%,61.1%,44.6%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2024,2024,R32,2,1.05,0.9%,6.0%,61.2%,62.0%,44.4%,55.2%,47.3%,42.9%,47.1%
Fed Cup,3,,10,7,3,70.0%,2,2,0,100.0%,2017,2019,,10,1.22,5.2%,3.8%,61.4%,66.7%,54.5%,62.0%,46.2%,64.8%,52.5%
Miami,4,Hard,16,12,4,75.0%,7,5,2,71.4%,2019,2026,F,16,1.06,3.7%,3.7%,65.0%,63.2%,52.2%,59.3%,43.2%,55.4%,43.5%
Indian Wells,4,Hard,12,9,3,75.0%,5,2,3,40.0%,2019,2026,W,12,1.10,3.5%,5.0%,61.2%,65.2%,48.1%,58.6%,45.5%,52.4%,50.0%
Tokyo,2,Hard,4,2,2,50.0%,0,0,0,-,2024,2025,QF,4,0.88,2.4%,5.9%,64.5%,62.4%,40.0%,54.4%,40.0%,40.0%,47.1%
Osaka,2,Hard,2,0,2,0.0%,0,0,0,-,2024,2025,R32,2,0.80,7.6%,6.1%,65.6%,62.8%,37.8%,54.2%,36.7%,40.0%,15.8%
Beijing,2,Hard,5,3,2,60.0%,2,1,1,50.0%,2019,2025,QF,5,1.04,3.2%,5.0%,59.2%,67.2%,40.9%,56.5%,45.4%,59.2%,53.2%
Montreal,4,Hard,7,3,4,42.9%,2,2,0,100.0%,2025,2025,R16,6,0.88,2.7%,5.7%,60.7%,64.0%,45.7%,56.8%,38.1%,59.3%,48.5%
