Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R64,W vs Samsonova,30.6%,37.8%,45.2%,31.5%,39.7%,42.0%,16.7%,18.9%,25.0%,36.8%,42.1%,58.3%,25.0%,18.2%,0.0%,185
2026 Indian Wells R128,W vs Linette,21.4%,35.7%,62.5%,27.0%,40.5%,59.3%,17.6%,30.0%,-,13.3%,33.3%,69.2%,20.0%,10.0%,0.0%,2
2025 Seoul R32,L vs Lys,31.1%,37.7%,36.8%,36.4%,45.5%,39.3%,36.4%,22.7%,83.3%,23.1%,23.1%,30.0%,0.0%,16.7%,0.0%,84
2025 Roland Garros R64,L vs Andreeva,11.5%,15.4%,42.9%,18.8%,25.0%,46.2%,26.7%,11.8%,100.0%,0.0%,0.0%,37.5%,11.1%,0.0%,0.0%,-119
2025 Charleston R32,W vs Volynets,20.3%,32.8%,64.4%,24.4%,42.2%,67.6%,40.0%,44.0%,-,15.4%,15.4%,54.5%,16.7%,0.0%,-,2
2025 Miami R64,W vs Rybakina,33.7%,45.8%,50.9%,38.6%,52.6%,45.7%,56.0%,28.1%,33.3%,25.0%,33.3%,61.1%,54.5%,15.4%,0.0%,-11
2025 Miami R128,W vs Zarazua,31.1%,45.9%,46.3%,38.1%,50.0%,53.8%,42.9%,9.5%,0.0%,16.7%,38.9%,33.3%,37.5%,10.0%,0.0%,-40
2025 Indian Wells R64,L vs Svitolina,19.5%,27.4%,42.3%,19.4%,31.9%,46.6%,48.4%,24.4%,37.5%,28.6%,28.6%,30.0%,40.0%,7.7%,0.0%,106
2025 Doha R64,L vs Kenin,39.3%,55.4%,50.0%,43.6%,61.5%,50.0%,44.4%,33.3%,33.3%,38.5%,53.8%,50.0%,37.5%,40.0%,0.0%,180
2025 Abu Dhabi F,L vs Bencic,10.2%,21.6%,42.6%,10.5%,24.6%,45.1%,18.5%,23.3%,22.2%,15.0%,25.0%,35.3%,66.7%,0.0%,0.0%,-7
2025 Abu Dhabi SF,W vs Noskova,31.6%,44.3%,55.1%,35.6%,49.2%,57.9%,25.9%,34.4%,75.0%,26.7%,40.0%,45.5%,42.9%,0.0%,-,111
2025 Brisbane QF,L vs Kudermetova,31.3%,41.8%,47.7%,30.6%,44.9%,50.0%,44.4%,19.4%,50.0%,37.5%,37.5%,40.0%,37.5%,25.0%,0.0%,30
2024 Osaka R32,L vs Avanesyan,12.3%,20.0%,44.0%,18.9%,29.7%,40.0%,43.8%,47.6%,50.0%,4.8%,9.5%,50.0%,54.5%,0.0%,0.0%,-77
2024 Beijing R32,L vs Sabalenka,25.0%,30.8%,30.6%,31.4%,40.0%,33.3%,31.6%,50.0%,0.0%,14.3%,14.3%,25.0%,57.1%,28.6%,0.0%,17
2024 US Open R32,L vs Samsonova,19.2%,26.9%,32.5%,18.2%,24.2%,22.2%,25.0%,41.2%,50.0%,23.5%,35.3%,53.8%,22.2%,0.0%,0.0%,23
2024 US Open R64,W vs Andreeva,22.6%,32.1%,56.8%,26.7%,40.0%,68.2%,40.0%,20.0%,50.0%,21.1%,26.3%,40.0%,50.0%,30.8%,33.3%,81
2024 US Open R128,W vs Zhang,22.1%,32.5%,48.2%,33.3%,44.4%,50.0%,31.6%,23.1%,33.3%,7.1%,17.9%,46.2%,0.0%,0.0%,0.0%,-47
2024 Nottingham R32,W vs Wang,35.3%,45.1%,51.6%,40.0%,51.4%,52.4%,55.0%,40.0%,-,28.6%,35.7%,50.0%,33.3%,54.5%,-,47
2024 Madrid R128,W vs Hibino,27.9%,36.1%,51.4%,30.8%,38.5%,55.6%,31.3%,30.4%,0.0%,33.3%,46.7%,40.0%,0.0%,42.9%,-,143
2024 Charleston R32,L vs Kasatkina,9.9%,23.9%,50.8%,14.0%,30.0%,58.1%,21.7%,29.6%,42.9%,0.0%,11.1%,33.3%,0.0%,33.3%,0.0%,-119
Last 52 Weeks (5 matches),,24.2%,32.9%,50.2%,28.6%,39.4%,50.3%,26.4%,25.6%,66.7%,18.4%,23.7%,50.0%,14.3%,9.8%,0.0%,42
Career (26 matches),,25.5%,35.6%,47.3%,30.1%,41.9%,48.9%,33.9%,30.7%,41.1%,20.5%,28.7%,43.7%,31.9%,17.3%,3.8%,71
