Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,22,9,13,40.9%,23-30,43.4%,246-269,47.8%,3-3,50.0%,22,68.4%,26.5%,7.6%,7.0%,66.1%,63.9%,46.3%,58.0%,39.9%,49.1%,0.95
Clay,11,5,6,45.5%,12-14,46.2%,125-132,48.6%,2-2,50.0%,11,57.8%,39.2%,3.2%,7.4%,64.7%,59.7%,40.7%,53.0%,44.6%,49.0%,0.95
Grass,4,1,3,25.0%,2-6,25.0%,36-43,45.6%,0-2,0.0%,4,71.1%,23.1%,2.2%,5.1%,62.9%,63.0%,45.1%,56.4%,36.9%,47.1%,0.85
Grand Slams,8,4,4,50.0%,9-9,50.0%,86-85,50.3%,0-1,0.0%,8,62.4%,37.6%,4.5%,7.2%,63.6%,59.8%,48.3%,55.6%,43.7%,49.9%,0.99
Premiers,7,1,6,14.3%,4-12,25.0%,64-91,41.3%,1-1,50.0%,7,64.0%,19.2%,6.5%,5.5%,67.1%,65.0%,35.4%,55.3%,35.4%,45.5%,0.79
Internationals,8,5,3,62.5%,10-7,58.8%,92-85,52.0%,2-2,50.0%,8,74.2%,28.6%,7.2%,5.9%,64.2%,66.4%,48.6%,60.0%,40.9%,50.6%,1.02
Semi-finals,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-1,0.0%,1,63.6%,20.0%,5.9%,8.2%,60.0%,68.6%,32.4%,54.1%,37.5%,46.5%,0.82
Quarter-finals,1,1,0,100.0%,2-0,100.0%,13-10,56.5%,1-0,100.0%,1,90.9%,18.2%,7.5%,1.5%,73.1%,69.4%,77.8%,71.6%,37.3%,52.7%,1.32
vs Righties,31,14,17,45.2%,35-40,46.7%,361-376,49.0%,5-5,50.0%,31,66.1%,31.3%,6.1%,7.2%,65.3%,63.1%,44.9%,56.8%,41.8%,49.4%,0.97
vs Lefties,6,1,5,16.7%,2-10,16.7%,46-68,40.4%,0-2,0.0%,6,60.7%,21.4%,3.3%,5.1%,65.6%,59.4%,41.8%,53.3%,35.5%,45.0%,0.76
vs Top 10,5,0,5,0.0%,0-10,0.0%,32-62,34.0%,0-1,0.0%,5,48.9%,18.8%,2.6%,8.4%,64.0%,52.3%,44.1%,49.4%,35.3%,42.6%,0.70
