Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,87,38,49,43.7%,94-114,45.2%,954-1024,48.2%,11-11,50.0%,87,66.7%,29.2%,5.5%,6.7%,64.1%,64.2%,44.7%,57.2%,40.9%,49.2%,0.96
Clay,18,8,10,44.4%,20-22,47.6%,201-209,49.0%,3-4,42.9%,18,59.1%,39.0%,3.3%,6.8%,64.1%,60.1%,42.9%,53.9%,45.4%,49.7%,0.99
Grass,12,5,7,41.7%,11-15,42.3%,119-123,49.2%,0-3,0.0%,12,70.2%,28.8%,3.6%,5.4%,65.0%,65.3%,48.4%,59.4%,39.6%,49.6%,0.97
Grand Slams,18,6,12,33.3%,18-26,40.9%,189-222,46.0%,1-2,33.3%,18,59.3%,32.2%,4.6%,6.7%,63.1%,60.7%,44.9%,54.9%,41.4%,48.2%,0.92
Premiers,38,15,23,39.5%,39-54,41.9%,422-473,47.2%,5-7,41.7%,38,64.8%,29.2%,5.0%,6.0%,65.6%,64.0%,42.2%,56.5%,40.9%,48.7%,0.94
Internationals,22,14,8,63.6%,29-17,63.0%,244-200,55.0%,3-3,50.0%,22,75.4%,33.6%,6.1%,5.8%,64.3%,68.2%,48.5%,61.2%,42.7%,51.9%,1.10
Finals,2,1,1,50.0%,3-2,60.0%,21-25,45.7%,1-0,100.0%,2,65.2%,22.7%,6.6%,9.2%,63.2%,62.5%,46.4%,56.6%,38.8%,47.7%,0.89
Semi-finals,3,2,1,66.7%,4-2,66.7%,34-29,54.0%,1-1,50.0%,3,74.2%,33.3%,7.1%,7.6%,67.6%,69.1%,39.7%,59.6%,41.6%,50.7%,1.03
Quarter-finals,6,3,3,50.0%,6-6,50.0%,63-58,52.1%,1-1,50.0%,6,78.7%,23.3%,8.8%,4.8%,69.6%,67.8%,53.5%,63.5%,39.0%,50.5%,1.07
vs Righties,101,44,57,43.6%,111-131,45.9%,1126-1186,48.7%,12-16,42.9%,101,66.1%,30.9%,5.2%,6.8%,63.9%,64.0%,44.7%,57.0%,41.6%,49.4%,0.97
vs Lefties,16,7,9,43.8%,14-20,41.2%,148-170,46.5%,2-2,50.0%,16,63.7%,29.3%,3.6%,4.8%,66.4%,61.2%,44.5%,55.6%,41.0%,48.4%,0.92
vs Top 10,13,1,12,7.7%,2-24,7.7%,81-155,34.3%,0-2,0.0%,13,51.3%,16.8%,3.6%,7.2%,63.1%,54.3%,44.3%,50.6%,34.6%,42.9%,0.70
