Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Australian Open R128,L vs Sinner,0.89,0.45,35.1,2.4,0.0%,40.0%,0.0%,54.5%,29.2%,23.8%
2025 Roland Garros R128,W vs Blanchet,1.13,1.19,58.9,6.1,0.0%,54.1%,1.4%,60.6%,41.5%,49.2%
2025 Indian Wells R64,L vs Hurkacz,0.75,0.76,54.7,2.3,0.0%,71.4%,3.6%,64.3%,35.0%,30.6%
2024 US Open R128,L vs Diaz Acosta,1.03,0.50,25.4,2.1,2.6%,51.3%,2.7%,45.9%,22.2%,28.1%
2024 Kitzbuhel F,L vs Berrettini,0.85,0.56,40.5,2.6,6.3%,56.3%,3.4%,55.2%,24.1%,34.6%
2024 Wimbledon R128,L vs Muller,0.87,0.77,40.2,2.3,0.0%,49.1%,3.8%,61.5%,44.8%,34.0%
2023 US Open R64,L vs Djere,0.96,0.43,19.5,2.2,0.0%,37.2%,2.4%,58.5%,26.5%,20.0%
2023 US Open R128,W vs Shimabukuro,1.22,1.84,24.8,2.0,8.9%,71.1%,2.4%,64.3%,45.2%,52.6%
2022 US Open R128,L vs Bublik,0.86,0.68,34.5,2.0,2.1%,55.3%,0.0%,55.0%,39.1%,31.0%
2022 Gstaad R32,L vs Thiem,0.99,0.86,94.2,5.6,2.1%,60.4%,0.0%,65.9%,30.0%,34.2%
2022 Wimbledon R64,L vs Sonego,0.90,0.64,32.8,2.2,0.0%,50.8%,3.4%,69.0%,33.3%,23.3%
2022 Wimbledon R128,W vs Popyrin,1.14,1.17,48.4,42.8,3.8%,66.3%,6.7%,49.3%,49.4%,36.4%
2022 s Hertogenbosch QF,L vs Van Rijthoven,0.99,0.39,46.0,2.2,0.0%,72.5%,2.6%,55.3%,18.2%,8.3%
2021 Paris R16,W vs Alcaraz,0.92,1.28,49.2,3.1,3.1%,65.6%,0.0%,55.2%,48.6%,61.3%
2021 Gstaad F,L vs Ruud,0.95,0.73,48.6,2.4,2.4%,51.2%,0.0%,47.4%,50.0%,27.8%
2021 Gstaad QF,W vs Garin,1.11,1.10,110.2,17.1,2.0%,65.3%,4.7%,60.5%,35.8%,37.5%
2021 Roland Garros R128,L vs Gasquet,1.13,0.53,29.5,2.0,2.2%,48.9%,2.4%,52.4%,22.2%,24.1%
2020 Roland Garros R16,L vs Thiem,0.96,0.82,47.2,2.4,1.2%,65.5%,0.0%,64.0%,28.9%,31.4%
2020 Roland Garros R32,W vs Wawrinka,1.12,1.18,49.0,3.3,0.0%,57.7%,2.7%,58.1%,39.5%,49.3%
2020 Roland Garros R64,W vs Nishioka,1.17,1.23,40.3,2.3,0.0%,56.6%,2.8%,60.6%,43.9%,42.9%
2026 (1 matches),,0.89,0.45,35.1,2.4,0.0%,40.0%,0.0%,54.5%,29.2%,23.8%
2025 (2 matches),,1.01,1.02,57.5,3.4,0.0%,58.8%,2.0%,61.6%,39.0%,42.1%
2024 (3 matches),,0.91,0.64,35.9,2.3,2.3%,51.6%,3.4%,55.1%,33.3%,32.4%
2023 (2 matches),,1.10,0.98,22.3,2.1,4.5%,54.5%,2.4%,61.4%,36.8%,38.2%
2022 (5 matches),,1.00,0.83,50.1,3.1,1.8%,60.8%,3.1%,58.4%,37.2%,29.5%
Career (51 matches),,1.05,1.00,46.1,2.6,2.0%,57.9%,2.0%,57.9%,39.8%,40.7%
