Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,12,5,7,41.7%,2,1,1,50.0%,2020,2026,R64,12,0.92,5.1%,3.0%,58.5%,65.3%,46.3%,57.4%,39.2%,62.6%,40.0%
Roland Garros,8,Clay,15,7,8,46.7%,4,3,1,75.0%,2018,2025,R16,13,0.96,1.7%,2.3%,57.0%,62.2%,51.0%,57.4%,41.0%,60.6%,42.6%
Wimbledon,5,Grass,10,5,5,50.0%,6,2,4,33.3%,2021,2025,R64,10,0.98,5.1%,3.4%,53.7%,67.9%,50.4%,59.8%,39.3%,58.3%,41.5%
US Open,5,Hard,10,5,5,50.0%,3,3,0,100.0%,2021,2025,R64,10,0.90,3.9%,3.9%,53.6%,63.4%,48.7%,56.6%,39.2%,57.4%,46.5%
Rotterdam,3,Hard,7,3,4,42.9%,3,2,1,66.7%,2022,2026,R32,7,0.94,5.4%,3.0%,52.7%,69.4%,49.6%,60.0%,37.5%,55.1%,32.0%
Metz,4,Hard,6,2,4,33.3%,3,1,2,33.3%,2022,2025,R16,6,0.92,3.2%,1.0%,63.0%,68.6%,49.3%,61.5%,35.4%,55.3%,42.4%
Winston-Salem,3,Hard,3,0,3,0.0%,0,0,0,-,2022,2025,R32,3,0.66,3.5%,3.5%,62.4%,58.5%,39.1%,51.2%,32.4%,57.1%,37.5%
Cincinnati Masters,4,Hard,4,0,4,0.0%,1,0,1,0.0%,2022,2025,R128,4,0.72,3.5%,4.3%,58.3%,61.9%,40.6%,53.0%,34.0%,39.3%,27.3%
Canada Masters,2,Hard,5,3,2,60.0%,0,0,0,-,2022,2025,R64,5,0.98,3.6%,4.0%,55.4%,65.2%,45.9%,56.6%,42.5%,53.6%,38.5%
Kitzbuhel,2,Clay,6,4,2,66.7%,3,2,1,66.7%,2024,2025,F,6,1.05,3.6%,2.7%,50.6%,67.1%,59.5%,63.4%,38.6%,58.8%,47.2%
