Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Indian Wells R64,L vs Sabalenka,15.4%,17.3%,31.7%,9.1%,9.1%,36.7%,55.6%,20.0%,50.0%,31.3%,37.5%,18.2%,75.0%,12.5%,0.0%,87
2023 Indian Wells R128,W vs Cornet,14.3%,15.7%,58.9%,16.4%,18.2%,60.9%,37.5%,6.5%,25.0%,9.1%,9.1%,50.0%,16.7%,0.0%,0.0%,-42
2023 Australian Open R128,L vs Volynets,8.2%,11.5%,41.8%,10.2%,14.3%,36.4%,34.8%,0.0%,0.0%,0.0%,0.0%,63.6%,42.9%,0.0%,0.0%,-119
2022 US Open R128,W vs Trevisan,13.5%,16.2%,50.0%,16.1%,19.6%,48.9%,31.8%,5.9%,0.0%,6.3%,6.3%,53.3%,12.5%,0.0%,-,-55
2019 Lugano R32,W vs Tauson,15.5%,23.3%,54.9%,20.5%,31.5%,58.6%,70.3%,44.4%,75.0%,4.0%,4.0%,45.8%,37.5%,11.8%,0.0%,-80
2018 ITF Dubai SF,L vs Hruncakova,16.3%,16.3%,29.0%,24.1%,24.1%,31.8%,43.8%,23.1%,33.3%,0.0%,0.0%,22.2%,0.0%,0.0%,-,-119
2018 Limoges F,L vs Alexandrova,25.0%,26.9%,40.5%,22.2%,25.0%,39.3%,60.0%,47.6%,75.0%,35.7%,35.7%,44.4%,44.4%,0.0%,0.0%,47
2018 Wimbledon R32,W vs Keys,31.2%,35.8%,40.0%,31.4%,38.6%,45.8%,64.7%,36.1%,50.0%,35.3%,35.3%,27.3%,40.0%,21.1%,0.0%,51
2018 Wimbledon R64,W vs Cirstea,27.2%,29.6%,37.9%,25.0%,28.6%,42.9%,58.6%,40.7%,100.0%,33.3%,33.3%,25.0%,88.9%,13.3%,25.0%,-56
2017 Tashkent R32,L vs Sabalenka,28.9%,31.1%,33.3%,33.3%,37.5%,43.8%,69.2%,18.2%,0.0%,31.3%,31.3%,18.2%,80.0%,0.0%,0.0%,137
2017 Indian Wells R64,L vs Garcia,27.1%,33.3%,53.8%,42.1%,47.4%,45.5%,40.0%,11.1%,-,25.0%,35.0%,60.0%,55.6%,18.2%,25.0%,87
2015 Roland Garros R128,L vs Halep,14.1%,16.9%,43.9%,13.0%,14.8%,44.7%,55.6%,14.8%,33.3%,23.1%,30.8%,40.0%,25.0%,11.1%,-,84
2015 Australian Open R128,L vs Pliskova,16.7%,22.2%,39.0%,19.4%,25.0%,37.9%,47.4%,11.8%,0.0%,14.3%,21.4%,41.7%,60.0%,11.1%,-,9
Career (13 matches),,19.7%,23.3%,44.0%,20.7%,25.1%,45.7%,53.0%,22.8%,33.3%,21.5%,23.8%,39.4%,47.4%,10.2%,8.7%,86
