Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
13,Anett Kontaveit [EST],6,7,46.2%,1,0,1,0.0%,2016,2022,11,1.09,3.9%,2.7%,63.6%,67.0%,46.5%,59.5%,44.2%,56.5%,44.0%
12,Jessica Pegula [USA],5,7,41.7%,4,3,1,75.0%,2019,2025,12,0.93,4.3%,4.8%,60.3%,60.8%,42.6%,53.5%,43.2%,48.6%,38.8%
11,Coco Gauff [USA],5,6,45.5%,2,0,2,0.0%,2020,2026,10,0.95,3.3%,5.6%,57.8%,63.0%,45.7%,55.7%,41.9%,58.6%,44.4%
11,Donna Vekic [CRO],4,7,36.4%,4,2,2,50.0%,2016,2025,10,0.98,4.9%,5.2%,59.3%,62.2%,45.6%,55.4%,43.8%,50.6%,41.3%
11,Elise Mertens [BEL],6,5,54.5%,4,3,1,75.0%,2014,2025,6,1.02,6.6%,4.2%,57.0%,63.2%,42.6%,54.3%,46.4%,55.7%,43.8%
10,Aryna Sabalenka [BLR],3,7,30.0%,3,1,2,33.3%,2019,2023,10,0.84,4.8%,7.0%,58.0%,66.2%,37.6%,54.2%,38.4%,54.5%,30.4%
9,Iga Swiatek [POL],4,5,44.4%,0,0,0,-,2021,2026,8,0.86,2.9%,4.8%,64.4%,63.4%,36.3%,53.8%,40.0%,50.8%,40.0%
8,Ekaterina Alexandrova [RUS],6,2,75.0%,2,1,1,50.0%,2015,2025,6,1.32,9.4%,4.5%,56.0%,77.5%,58.1%,68.9%,41.0%,50.0%,41.7%
8,Petra Kvitova [CZE],5,3,62.5%,1,1,0,100.0%,2019,2023,8,1.02,6.1%,4.4%,60.7%,66.4%,47.8%,59.1%,41.8%,64.4%,40.8%
7,Caroline Garcia [FRA],4,3,57.1%,4,2,2,50.0%,2017,2024,7,1.01,8.2%,3.7%,60.9%,69.1%,52.4%,62.6%,38.0%,62.2%,54.5%
7,Karolina Pliskova [CZE],3,4,42.9%,1,1,0,100.0%,2018,2023,7,0.92,5.4%,6.2%,57.7%,63.8%,47.9%,57.1%,39.4%,54.2%,29.2%
6,Karolina Muchova [CZE],1,5,16.7%,4,1,3,25.0%,2016,2026,5,0.85,2.8%,4.0%,62.6%,59.5%,48.3%,55.3%,37.9%,60.9%,45.9%
6,Daria Kasatkina [AUS],1,5,16.7%,1,0,1,0.0%,2015,2026,5,0.95,2.9%,4.8%,60.8%,55.7%,37.8%,48.7%,48.7%,53.1%,44.1%
6,Naomi Osaka [JPN],3,3,50.0%,2,2,0,100.0%,2018,2026,5,0.95,3.7%,5.3%,60.4%,67.0%,49.6%,60.1%,37.8%,41.4%,31.0%
6,Elena Rybakina [KAZ],1,5,16.7%,3,2,1,66.7%,2020,2025,6,0.81,4.3%,6.8%,57.9%,64.9%,45.9%,56.9%,34.9%,58.3%,43.8%
